status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
#GuyFawkes #BonfireNight #england #uk #unitedkingdom #london #miltonkeynes #fireworks,M
"Saturday morning 
Munir Hasan Bhaia’s devoted followers in front and back of the camera. We’re learning growth hacking techniques and building strategies for our startup!",M
"(যারা সম্পূর্ণ পোস্টটা পড়তে চান না, তারা প্রথম কমেন্টে গেলে ভিডিওর লিঙ্ক পেয়ে যাবেন!)
.
গত কিছুদিন ধরে ব্রিটিশ প্রধানমন্ত্রী ঋষি সুনাক এবং টেক বিলিওনিয়ার ইলন মাস্কের মধ্যে একটা ইনভাইটেশন অনলি টক শোর কথা শোনা যাচ্ছিল। এই টক শোর আলোচ্য বিষয় কৃত্রিম বুদ্ধিমত্তা এবং এর নিরাপত্তা।
.
শেষের কথাটা, অর্থাৎ 'এর নিরাপত্তা' বলতে মূলত এর থেকে নিরাপত্তাই বেশি প্রাধান্য পাচ্ছিল। আমরা যারা কম্পিউটার বিজ্ঞান নিয়ে গবেষণা করি, তাদের কাছে প্রযুক্তিটা তৈরি করাই প্রাধান্য পায় বেশি। কিন্তু এর … See more",M
"Just two min later (I posted it), it’s 22/7 and when I’m writing, Shami almost got another!
——-
Mohammed Shami and Mohammed Shiraj are on fire 
 from both side of the pitch. Sri Lanka lost 6 wickets for only 14 runs. 
I’m not an Indian fan but enjoying watching bowlers dominating a match so much when the rule makers made white ball cricket a game of batters. … See more",M
"For the first time the world leaders are sitting on the table and thinking seriously about the safety issues of AI. It all started from the UK’s famous code breakers home, the  Bletchley Park. #aisafetysummit #ai #elonmusk #openai #chatgpt #RishiSunak #technology",M
I can’t believe November is here! It feels like 2023 started just yesterday!!! ,M
I can’t believe November is here! It feels like 2023 started just yesterday!!! ,M
"একজন লেখকের জন্যে সবচেয়ে মধুর অনুভূতি হচ্ছে যখন সে দেখে তার লেখা বইটা একটা লাইব্রেরিতে স্থান পেয়েছে এবং পাঠক সেই বই পড়ছে।
.
MIT, প্রিন্সটন, বার্কলে — এই নামগুলোর সুবিশেষ সম্ভ্রম রয়েছে, বিশেষ করে প্রযুক্তি এবং প্রকৌশলের বিষয়গুলোতে। এদের ক্যাম্পাস, ক্লাসরুম, ল্যাব, লাইব্রেরি যেন তীর্থস্থান এ বিষয়গুলো নিয়ে পড়া এবং গবেষণা করা মানুষদের কাছে। আমিও ব্যতিক্রম নই।   
.
ব্লকচেইনের উপরে আমার লেখা বইটা MIT এর লাইব্রেরি যখন স্থান দিয়েছিল তাদের স্বনামধন্য শিক্ষা প্রতিষ্ঠানে, তখন ভালো … See more",M
"This is South Africa’s year! 
They just won the Rugby World Cup beating New Zealand by a single point.
They won by a single point against England in the Semifinal and by a single point against host France in the Quarter Final! Nobody ever won these vital knockout matches by the tiniest of margins.… See more",M
