status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"চঞ্চল চৌধুরীরা (Chanchal Chowdhury) ভুলে যান বাংলাদেশ একটি স্বাধীন-সার্বভৌম রাষ্ট্র। এ দেশের মানুষেরা স্বাধীন। খেলায় প্রতিবেশী দেশকে সমর্থন করতেই হবে, এমন কোনো বাধ্যবাধকতা নেই। ইন্ডিয়ানরা কি বাংলাদেশ দলকে সমর্থন করে? নাহ। আমি তো দেখেছি বাংলাদেশ-পাকিস্তান খেলায় বাঙালির ইডেন গার্ডেনে ভারতীয়রা পাকিস্তানকে সমর্থন দিচ্ছে। যে যেই দলকে সমর্থন করে, সেই দল জিতলে উল্লাস করবেই। ক্রিকেটে ভারত, পাকিস্তানের পর অস্ট্রেলিয়ার সাপোর্টারই বেশি। 
জানি, ব্যাপারটা এরকম সরল নয়। বাংলাদেশের মানুষ এ… See more",M
দেশের শিক্ষাকার্যক্রম,M
"নতুন শিক্ষাক্রম পরিবর্তনের দাবিতে একজন অভিভাবকের বক্তব্য (২৪ -১১-২০২৩, কেন্দ্রীয় শহীদ মিনার)",M
"আমি গর্ভিত। 
কারন সকল প***তি**তা আর নর্তকিরা দেশ পরিচালনার করবে।
আমি চিত্রনায়িকার পাশাপাশি মাননীয় প্রধানমন্ত্রী শেখ হাসিনার কর্মী : অপু বিশ্বাস",M
"ঘুরতে ঘুরতে তায়েফ
আব্দুল জলিল ভায়ের সাথে দেখা",M
জাতিকে একটি প্রতিবন্ধী জাতি তৈরি করার কার্যক্রম,M
"একটা সময় তোমার কাছে সবায় যেত সেল্পি তুলতে আজ তুমি যাও মানুষের কাছে।
মিস্টার সাকিব আল হাসান তোমাকে অনলি ক্রিকেটার হিসেবেই পছন্দ করি বাকি ভুল সিদ্ধান্তের জন্য তোমাকে 
 করি ।
জাতির সংকটকালীন মুহূর্তে জাতির সাথে যারা বেইমানি করে তারা হচ্ছে জাতীয় বেইমান।",M
পঁচার রোগে ধরেছে,M
"আমি নিরবতা খুবি এরিয়ে চলি,
কোলাহলে নিজেকে বন্ধি করি সর্বদায়।
কিছু স্মৃতি খুব তারা দেয়,ছাড়েনা আমায় একলায়।
আমি নিস্তব্ধতাকে খুব ভয় পাই, 
স্তব্ধতায় স্মৃতি গুলো যে আমার পায়ে বেরি পরায়।… See more",M
ঐ সীট লাগবে সীট,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"#লেইট_পোস্ট
গতকাল বাংলাদেশ বনাম ইন্ডিয়া ফাইনাল খেলা দেখায় ব্যস্ত থাকার জন্য হ্যান্ড মেইড করার সম্ভব হয়নি
তাই হোটেলেই সম্পন্ন।",M
খুব দরকার এদের,M
সুন্দরী নিউজ প্রেজেন্টারের মনোনয়ন কেনা নিয়ে পার্টি অফিস তোলপাড়,M
"সব আকামের সমাধান, ডিবি হারুন ডিবি হারুন",M
