status,author
,F
,F
,F
,F
,F
,F
,F
,F
আপনাকে হাজার সালাম। আফসোস তারপর ও কিছু মানুষের ডাক্তারদের নিয়ে অভিযোগের শেষ থাকবেনা,F
"We want justice
Positive speech..
অবশেষে দেশের মানুষ জেগে উঠছে, এভাবেই বিভিন্ন প্রান্ত থেকে আওয়াজ উঠুক, ধন্যবাদ ইমাম সাহেবকে",F
কোন পূর্ব নোটিশ না দিয়েই হোটেল মিলিনিয়ামে কোয়ারেন্টিনে অবস্থানরত চিকিৎসকদের হোটেল থেকে বের হয়ে যেতে বলেন হোটেল কর্তৃপক্ষ। আমরা ইহার তীব্র নিন্দা জানাই। হোটেলের … See more,F
"- একজন ডা. অনলাইনে চিকিৎসা দেন বিকাশে টাকার বিনিময়ে।
- এটা ভালো না খারাপ সে বিষয়ে যাওয়ার আগে আপনাদেরকে একটা গল্প শুনাই। 
....… See more",F
"সাদা পিপিই পরা এই ছেলেটা ছিল নারায়নগঞ্জ সদরের  প্রশিক্ষনার্থী  মেডিকেল এসিস্ট্যান্ট। ওর নাম সেলিম আকন্দ। জীবন কেবল শুরু হয়েছিল। কি সরল, গর্বিত অভিব্যক্তি বাচ্চা… See more",F
"১) আমি তিনটা বছর একা কষ্ট করেছি, কী পরিমাণ কষ্ট সেটা কাউকে বলতে ইচ্ছে করছে না। সেই তিন বছর আমার হাসবেন্ড উচ্চতর ডিগ্রী নিতে সিলেট ওসমানি মেডিকেল কলেজে ছিলেন। সর… See more",F
"হায়রে বাঙ্গালী!  এত সুন্দর করে চোখে আঙ্গুল দিয়ে বুঝায় দেয়ার পরেও যদি না বুঝে!!
যারা ডাক্তার নন এবং নিজের অজ্ঞতার জন্য না বুঝেই ডাক্তারদের গুষ্টি উদ্ধার করে পাশবিক আনন্দ নেবার চেস্টা করছেন শুধুমাত্র তাদের জন্য এই পোস্ট....   
""একান্ত আপনজন ছাড়া আমরা কাকে আমাদের শরীর ছুঁতে দেই।
ড… See more",F
"লিখেছন Subrata Deb Nath
মাননীয় প্রধানমন্ত্রী,
আজ বিশ্বব্যাপী করোনা ভাইরাস পজিটিভের সংখ্যা দশ লক্ষ (১০,০০,০০০) ছাড়িয়েছে। মৃতের সংখ্যা প্রায় ৫৩,০০০। বেশিরভাগ দ… See more",F
"দয়া করে ভিডিও গুলো ভালো করে শুনুন।
আমি করোনা ভাইরাস এর সন্দেহে গিয়েছিলাম আইইডিসিআর এর অফিসে,এর আগে ওদের হটলাইন এ যোগাযোগ করার চেষ্টা করেছি,সম্ভব হয়নি।ওইখানে যাও… See more",F
আগামী ২ সপ্তাহ বাংলাদেশের জন্য ভাইটাল সময়...covid 19 এর ইনকিউবিশন পিরিয়ড ১-১৪দিন..মিড ৫ দিন...১৪ দিন আপ্নি জানবেন ও না আপনার শরীরে ভাইরাস রয়েছে আর সেটা কতজন কে … See more,F
করোনা থেকে বাঁচার একমাত্র ঔষধ কি!,F
"করোনা বিষয়ক কিছু সতর্কতা:
1। বাইরে থেকে এসে সবার আগে হাত মুখ ধুবেন সাবান দিয়ে। মনে রাখবেন সাবান হ্যান্ড স্যানিটাইজারের চেয়ে বেশি কার্যকর। যদি সম্ভব হয় গোসল করুন বা পূর্ণাঙ্গ অযু করুন। এই ধোয়ার কাজটি অবশ্যই বাথরূমে দরজা বন্ধ করে করবেন। ডাইনিং রুমে বাঙালীর যে একটি বিশেষ বেসিন থাকে যেখানে হাত ধোয়া থেকে থালা বাসন ধোয়া , দাঁত মাজা হয় সেখানে করবেন না। তাহলে আপনি আপনার ঘরেই জীবাণু ছড়ানোর সবচেয়ে উপযুক্ত কাজটি করবেন। মনে রাখবেন বিশ্বের আর কোথাও ডাইনিং রুমে বেসিন নেই এবং এই বেসিনটি শু… See more",F
,F
,F
