status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
বিজ্ঞান‌চিন্তার জন্ম‌দিন উদযাপন!,M
"Tanzila Priyanka বিডিওএসএনের জিআইবিসি গ্র্যাজুয়েট। বিবিএ ফাইনাল পরীক্ষার সময় ও এই ক্যাম্পে যোগ দিয়েছিল।  তখনই বোঝা গেছে যে ও সহজে ছাড় দেওয়ার মেয়ে নয়। 
করোনার মধ্যে ও শুরু করে পুরান ঢাকার অথেনটিক কাচ্চি ঘরে ঘরে পৌঁচে দেওয়ার উদ্যোগ স্বাদে ১৬'আনা। 
আমার নেটওয়ার্কের বেশিরভাগই এই কাচ্চির কথা জানেন। প্রচলিত ঘরানার বাইরে গিয়ে বাসমতি চাল, মাংস থেকে চর্বি ছাড়িয়ে নেওয়া, আচার ও ডিম যুক্ত করা - এসবই ওদের প্রচেষ্ঠা যাতে কব্জি ডুবিয়ে কাচ্চি 
খাওয়া হয়। … See more",M
"বিশ্ববিদ্যালয় ক্যাম্পাসের অনেক সহকর্মী বাচ্চাদের প্রোগ্রামিং শেখার ব্যাপারে জিজ্ঞেস করেন। আগামী ২১ শে অক্টোবর অনুষ্ঠিতব্য এই আয়োজনে ১ম থেকে ৮ম শ্রেণীতে পড়ুয়া অপনার সন্তানকে সম্পৃক্ত করতে পারেন। 
ভেন্যু: তথ্য প্রযুক্তি ইনস্টিটিউট, ঢাবি। বিস্তারিত শেয়ার করা পোস্টে আছে। আসন সংখ্যা সীমিত।
বিস্তারিত:… See more",M
"ছোটবেলা থেকে কোডিং শিখলে লাভ কী? পৃথিবীর সবাই কি কোডার হবে? 
না, সবাই কোডার হবে না। কিন্তু কমবেশি সবাইকে প্রবলেম সলভিং সম্পর্কে ধারণা পেতে হবে। আর প্রবলেম সলভিং-এর জন্য কোডিং একটা ভাল মই। 
কোডিং একটা প্রবলেমকে নানাভাবে এটাক করতে শেখায়। প্রবলেমকে ভেঙ্গে ছোট, ম্যানেজেবল পার্টে নিয়ে যাওয়া। সেরকম ছোট সমস্যা সমাধান করে শেষমেষ সবকিছুকে যোগ দেওয়া। 
এই চিন্তা থেকে বিশ্বের বিভিন্ন দেশে ছোটবেলা থেকে কোডিং শেখানো হচ্ছে। আর এ ক্ষেত্রে যেন সিনট্যাক্স, কমান্ড এসব নিয়ে বাচ্চাদের ভাবিত হতে … See more",M
"শেষ হলো যোসেফাইট ম্যাথম্যানিয়া !
যোসেফাইট ম্যাথ ক্লাবের আয়োজনে এ  একাডেমিক সহযোগী ছিল বাংলাদেশ গণিত অলিম্পিয়াড কমিটি ও পৃষ্ঠপোষকতা করছে প্রথম আলো।",M
