status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"""আজানের সুরে সুরে সময় ফজর,
দ্বার খোলো হয়ে এলো রোদ মাখা ভোর!
পাপিয়ার কলতানে প্রভাতির আলো,
দিবসের আগমনি বারতা শোনালো!… See more",M
"মেট্রোরেলে টয়লেট ব্যবহারে টাকা: সংবাদ সংগ্রহে গিয়ে আনসারের হাতে ২ সাংবাদিক ‘লাঞ্ছিত’
#মেট্রোরেল #আনসার #সাংবাদিক",M
"A legendary story of a teacher(1) #movie #wonder #inspiration
#movie #thedevilwearsprada
#movie #dangerminds #teacher",M
Children succeeded in a challenging task and found their mums,M
"সতর্কবার্তা 
গতকাল রাত ১ টা ৩০ মিনিটের সময় আমি চট্টগ্রাম নতুন ব্রিজ থেকে চৌমুহনী আসার উদ্দেশ্যে গাড়ির জন্য দাঁড়িয়ে ছিলাম। যথারীতি একটা সিএনজির ড্রাইভার আমাক… See more",M
