status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"সাকিবের ইন্টারভিউটা দেখলাম। একটা ভিজিবল ব্যাপার অনেকেই ওভারলুক করতেছেন। সাকিব বলতেছেন, তিনি কোন কিছুর সাথে জড়িত না, তিনি কিছুই জানেন না। কিন্তু ওপেন প্ল্যাটফর্মে বসে তামিমের দোষত্রুটি বিদ্রুপাত্মক উপায়ে প্রেজেন্ট করতেছেন। মানে, তিনি যদি আসলেই জড়িত না হন, সেক্ষেত্রে ইন্টারভিউ এর টোনটা নিউট্রাল পয়েন্ট থেকে হওয়ার কথা ছিলো। অথচ আমরা দেখতেছি, ব্যাপারটা এমন, ইন্টারভিউটা অনেকটা সাদা কাপড় ধোয়ার সময় চমক ফেব্রিক ব্রাইটেনার ইউজ করতে গিয়ে মনের ভুলে নীল রঙের স্পট লাগায়ে দেয়ার মতো।
কথার বা… See more",F
"ঢাকার ড্রেনেজ ব্যবস্থা আগামীতে আরো খারাপ হতে পারে। এটা শুধু ওয়াসার ইস্যু নয়।
বৃষ্টির পানি বিদায়ের জন্য ওয়াসার আন্ডারগ্রাউন্ড সুয়্যারেজ সিস্টেম খরচের দিক দিয়ে সব সময়ই দ্বিতীয় ব্যবস্থা। প্রথমটা সবসময় প্রাকৃতিক 'সারফেস রান অফ' বা পানি সরাসরি প্রবাহিত হয়ে চলে যাওয়া, যেটা ঢাকাতে আগামী দিনগুলোতে নিশ্চিত করা আরো কঠিন হবে।
বৃষ্টি পানির সারফেস রান অফের জন্য প্রয়োজনীয় বিষয় প্রাকৃতিক ড্রেনেজ, যেটা বিভিন্ন ডোবা-নালার নেটওয়ার্কের মাধ্যমে হাজার বছর ধরে নির্দিষ্ট এলাকা (ক্যাচমেন্ট … See more",F
"লোনলি দুপুর যদি কেটে যায় ইলিয়াসের অন্য ঘরে অন্য স্বরে, আর
ব্যাকগ্রাউন্ডে ""তোমার প্রিয় ঋতু বর্ষা তাই, সারাবছর ধরে মেঘ জমাই"",
জীবনে শান্তির জন্য এর চেয়ে বেশি কিছু লাগে না৷",F
"The emotionally intelligent person knows that love is a skill, not a feeling, and will require trust, vulnerability, generosity, humor, sexual understanding, and selective resignation. The emotionally intelligent person awards themselves the time to determine what gives their working life meaning and has the confidence and tenacity to try to find an accommodation between their inner priorities and the demands of the world. The emotionally intelligent person knows how to hope … See more",F
"প্যারা লাগে এটা দেখে যে, চারপাশের অনেককেই এই পোস্ট নিয়ে ট্রল করতে দেখছি। অথচ হিউম্যান সাইকোলজি যে কতটা বিচিত্র এবং এই বৈচিত্র
‍
্য নিয়েও যে কত সায়েন্টিফিক এক্সপ্ল্যানেশন্স আছে এগুলো তারা জানে না। 
একজন আর্টিস্টিক মানুষের কাছে কনভেনশনাল কাজকর্ম প্যারাদায়ক লাগবেই৷ কনভেনশনাল বলতে শাব্দিক মিনিং ভেবে নিয়েন না৷ 
এই দুইটাই সাইকোলজিক্যাল টার্ম। বেইসিকলি, কনভেনশনাল ট্রেইটস হলো যেকোন স্ট্রাকচারড, সিস্টেমেটিক, অরগানাইজড, ডিটেইল্ড কাজকর্মের প্রতি ইনক্লিনেশন৷ ভেবে দেখেন, আর্টিস্টিক পিওপল সব… See more",F
আমার ভালো লাগছে না।,F
"""লিখনের অন্দরে"" সাহিত্য বিষয়ক কর্মশালায় আজকের সেশনে আলোচ্য বিষয় ছোটগল্প। অতিথি হিসেবে আছেন ড. শাহাদুজ্জামান।",F
"""লিখনের অন্দরে"" সাহিত্য বিষয়ক কর্মশালায় আজকের সেশনে আলোচ্য বিষয় উপন্যাসের নানা দিক। অতিথি হিসেবে আছেন দুই বাংলার জনপ্রিয় লেখক কল্লোল লাহিড়ী।",F
