status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"হ্যাঁ, ভবিষ্যতকে সুন্দর করার জন্য কাজ করে যাওয়া উচিৎ! ",F
You can always make your future a beautiful one! ,F
"স্মৃতির পাতা থেকে! 
মানবতার উজ্জ্বল দৃষ্টান্ত ডা: আছমা অরোরা 
করোনা দুর্যোগকালীন সময়ে যখন সবাই নিজেদের স্বাস্থ্য নিয়ে বেশি উদ্বিগ্ন ছিলেন, তখন সকল ভয় ও ঝুঁকি উপেক্ষা করে এই ম্যাডাম করোনা আক্রান্ত গর্ভবতী মায়ের সিজারিয়ান অপারেশন করেছেন। উনার উছিলায় পৃথিবীতে এসেছে ফুটফুটে পুত্র সন্তান। গর্ভবতী মা ও তার স্বামী (ওইসময় উভয়েই করোনা আক্রান্ত ছিলেন) তো মহাখুশী। এরকম হাজারো দৃষ্টান্ত আছে এই ম্যাডামের।… See more",F
"বন্ধুরা, নিচে বাংলাদেশের সবচেয়ে নামকরা প্রাকৃতিক সৌন্দর্যময় ৩৫ টি স্থানের নাম দিলাম। বলতে হবে আপনার পছন্দের তালিকায় কোন স্থানটি সবচেয়ে সেরা! 
১. সেন্ট মার্টিন/ নারিকেল জিঞ্জিরা/ দারুচিনি দ্বীপ
২. কক্সবাজারের সমুদ্রসৈকত 
৩. কক্সবাজারের হিমছড়ি … See more",F
Feeling motivated with Anika Tabassum,F
"বন্ধুরা জেনে নিন সফল হওয়ার ৫০ টি খুব গুরুত্বপূর্ণ টিপস্, যা পৃথিবীর সব সফল ব্যক্তিরাই অনুসরণ করেন!
কমেন্টে জানান ৫০ টি টিপস্ এর মধ্যে কোনটি আপনার কাছে সবচেয়ে সেরা মনে হয়েছে! ",F
"Yup, memory needs to be taken care of too! ",F
"বন্ধুরা আসুন দ্রুত জেনে নিই, স্মৃতিশক্তি বাড়াতে কি কি করতে হবে! ",F
"বন্ধুরা, আজকের প্রশ্নটি সবচেয়ে সহজ।
 কোন বিষয়ে পড়াশুনা করলে আপনার চাকরি পাওয়ার সম্ভাবনা সবচেয়ে বেশি?
 কোন বিষয়ে পড়াশুনা করলে আপনার চাকরি পাওয়ার সম্ভাবনা সবচেয়ে কম?
1… See more",F
" বিন্দু আমি, তুমি আমায় ঘিরে...
বৃত্তের ভিতর শুধু তুমি আছো... ",F
"বন্ধুরা আজকের কুইজটি খুবই সহজ। বলতে হবে ছবিটি কোথা থেকে তোলা 
Hint: গাজীপুর জেলা!",F
"বন্ধুরা, মাঝে মাঝে নিঃসঙ্গতা বোধ হতেই পারে!
কিন্তু আমি নিশ্চিত, সোলসের এই গানটি আপনার নিঃসঙ্গতা ভুলাতে অদ্বিতীয়! ",F
"বন্ধুরা, আজ আপনাদের জন্য একটা ছোট কুইজ হয়ে যাক!
বলুন তো পৃথিবীর সবচেয়ে ধনী ব্যক্তিদের অধিকাংশ কোন ক্যাটাগরিতে পড়েন?
1. বড় চাকুরীজীবি… See more",F
