status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"অ্যাক্রোফোবিয়া উচ্চতাভীতি নিয়ে অনেক কথা প্রচলিত আছে। কী, কেন ও কীভাবে উচ্চতাভীতি তৈরি হয়, কীভাবে দূর করা যায়—এসব নিয়ে তুমি অনেক লেখা খুঁজে পাবে। এ লেখায় তুমি য… See more",M
আবদুল্লাহ আবু সায়ীদ স্যার বলছেন গলা ও বুক জ্বালা পোড়া GERD নিয়ে,M
"আমি যেদিন থাকব না, কেউই কিছু বুঝবে না,
চলবে সবই নিয়মমাফিক, আমাকে কেউ পুছবে না।
আস্ত রবি অস্ত যাবে, উঠতে পারে সন্ধ্যাতারা;
যাদের টাকা ধার করেছি, কিছুটা ধার ধারবে তারা।
যারা আমার লোন নিয়েছেন, তারা যাবেন দিব্যি চেপে,… See more",M
"“আমাদের কোন ভুলে তোমরা এরকম হলে?” 
-মোজাম্মেল হোসেন, শনিবার বিকেল 
সময় কি হয় নাই এখনো ভুলগুলা খোঁজার? ভুল না জানলে শোধরাবো কেমনে, হে?",M
"সেইসব সন্ধ্যার কথা মনে পড়লে ধূলির ঘ্রাণ পাই, রিকশার পেছনে বাঁধা লণ্ঠনগুলো জ্বলে উঠছে, বাতাসে কেরোসিনের গন্ধ, কোথাও একটা পথহারা বাছুর আর্তস্বরে হাম্বা হাম্বা বলে মাকে ডাকছে, আকাশ লাল, আকাশ বেগুনি, আকাশ গোলাপি, হাফপ্যান্টের পায়ে চোরকাঁটা (আমরা বলতাম ওকড়া); আজান হয়ে গেছে একটু আগে; বেলের গাছে আঁধার জমাট বাঁধছে, ওই গাছে ভূত থাকে, তার নিচ দিয়েই তো ঘরে ফিরতে হবে আমাকে, আজ আর আমি ঘরে যেতে পারব না, তবে আমি কোথায় যাব; আব্বা আব্বা বলে কেঁদে উঠছে কার খোকা; রেডিওতে আবদুল আলীম, হলদিয়া পাখি… See more",M
আহারে আমাদের সেইসব দিন। ৫১-বর্তী বা ৬৯ দেখানো হচ্ছে।,M
"Life got better when I started watching bangla tv series “
” written by : Anisul Hoque and directed by : Mostofa Sarwar Farooki
but today i finished the las… See more",M
"চোখ ছাড়াও দেখার গল্প! পা ছাড়াই এগোনোর গল্প! আলোর পথে হাঁটার গল্প! 
তথ্যচিত্র ""সাহসের সড়কে"" দেখতে ভিজিট করুন prothomalo.com, প্রথম আলো'র ফেসবুক পেইজ ও ইউটিউব চ্য… See more",M
আমরা মরছি কেন?,M
রণদাপ্রসাদ সাহার জন্মতিথিতে ভারতেশ্বরী হোমসের বাদকদল…,M
দানবীর শহীদ রণদাপ্রসাদ সাহার ১২৭তম জন্মদিন উপলক্ষে মির্জাপুরে।,M
দানবীর শহীদ রণদাপ্রসাদ সাহার ১২৭তম জন্মদিন উপলক্ষে মির্জাপুরে।,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"তুই কি আমার দুঃখ হবি?
এই আমি এক উড়নচণ্ডী আউলা বাউল
রুখো চুলে পথের ধুলো
চোখের নীচে কালো ছায়া।
সেইখানে তুই রাত বিরেতে স্পর্শ দিবি।… See more",M
