status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"মুহম্মদ জাফর ইকবাল স্যার‌কে ঢাকায় এনে সিএমএইচ হাসপাতা‌লে ভ‌র্তি করা হ‌য়ে‌ছে, তাঁর জন্য মে‌ডি‌কেল বোর্ডও গঠন করা হ‌য়ে‌ছে।আশা ক‌রি তি‌নি খুব শীঘ্রই সুস্থ হ‌য়ে উঠ‌বেন।
‌তি‌নি আমে‌রিকার নাগ‌রিকত্ব পে‌য়ে‌ছি‌লেন।‌তি‌নি কি পার‌তেন না ওই দে‌শে থে‌কে যে‌তে? পার‌তেন! কিন্তু তি‌নি তা না ক‌রে দে‌শের টা‌নে ফি‌রে এসে‌ছেন, দেশ‌কে সেবা কর‌তে।হ‌য়ে উঠে‌ছেন দে‌শের সকল শিশু কি‌শো‌রের প্রিয় লেখক। 
এমন সাধা‌সি‌ধে সরল ম‌নের, দেশ‌প্রে‌মিক, ধবধ‌বে সাদা গোঁফওয়ালা মু‌খে সর্বক্ষণ হা‌সি নি‌য়ে থাকা ,… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
First time ful futlo gase.....feeling so happy......,F
"Miss U Dost(2nd part)
‌দোস্ত তুই কোথায় গে‌লি ক‌রে গট গট?!?!
আজ drawing clss e স্যার আক‌তে দি‌য়ে‌ছে tea-pot...
ঐ‌তিহা‌সিক বইগু‌লো ছি‌লো library তে, কিন্তু ছি… See more",F
"Miss U Dost(2nd part)
‌দোস্ত তুই কোথায় গে‌লি ক‌রে গট গট?!?!
আজ drawing clss e স্যার আক‌তে দি‌য়ে‌ছে tea-pot...
ঐ‌তিহা‌সিক বইগু‌লো ছি‌লো library তে, কিন্তু ছি‌লিনা তুই,
‌কে ত‌বে পড়‌বে ঐসব মুরগিমারকা বই!… See more",F
"মিস ইউ দোস্ত
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ অসম্পূর্ণ
‌তো‌কে ছাড়া গল্পটা হয়না সম্পূর্ণ,
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ হাহাকার ক‌রে,
‌বে‌ঞ্চের পে‌রে‌কে শুধু জামা ছে‌ড়ে,… See more",F
"মিস ইউ দোস্ত
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ অসম্পূর্ণ
‌তো‌কে ছাড়া গল্পটা হয়না সম্পূর্ণ,
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ হাহাকার ক‌রে,
‌বে‌ঞ্চের পে‌রে‌কে শুধু জামা ছে‌ড়ে,… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
First time ful futlo gase.....feeling so happy......,F
"Miss U Dost(2nd part)
‌দোস্ত তুই কোথায় গে‌লি ক‌রে গট গট?!?!
আজ drawing clss e স্যার আক‌তে দি‌য়ে‌ছে tea-pot...
ঐ‌তিহা‌সিক বইগু‌লো ছি‌লো library তে, কিন্তু ছি… See more",F
"Miss U Dost(2nd part)
‌দোস্ত তুই কোথায় গে‌লি ক‌রে গট গট?!?!
আজ drawing clss e স্যার আক‌তে দি‌য়ে‌ছে tea-pot...
ঐ‌তিহা‌সিক বইগু‌লো ছি‌লো library তে, কিন্তু ছি‌লিনা তুই,
‌কে ত‌বে পড়‌বে ঐসব মুরগিমারকা বই!… See more",F
"মিস ইউ দোস্ত
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ অসম্পূর্ণ
‌তো‌কে ছাড়া গল্পটা হয়না সম্পূর্ণ,
‌তো‌কে ছাড়া ফাস্ট বেঞ্চ হাহাকার ক‌রে,
‌বে‌ঞ্চের পে‌রে‌কে শুধু জামা ছে‌ড়ে,… See more",F
