status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"I do not know why I cannot aggree or disagree with him. Can you?
On the one hand, he is so right about common people like us that we are so stupid. On the other hand, he does not want to think about the views of common people. If this kind of leaders start to rule and they are not people-frindly, we get current Bangladesh. That's a shame, of course, but then again we common people are stupid.",M
"Good feeling about being parents? -They grow fast.
Bad feeling about being parents? -They grow fast.
It's been a year we got him, seems like its the yesterday he was born. Nevertheless, he is growing so fast. I wish he was always my baby!… See more",M
অন দ্যা স্পট আম খাইতে হবে। খাইতেছে পুরা দেশী স্টাইলে। এইটারে কয় দেশী পোলা। আমখোর ছাওয়াল। ,M
বউ-ছাওয়ালপাল। কুরমনির ইদের জইন্যে বাংলাদেশীগারে মহামিলন অনুস্টানে।,M
"'বাজে চিন্তা ভাবনা'
অনেক পোস্ট দেখলাম পিতা দিবস নিয়ে। দু-একটা ব্যাতিক্রম ছাড়া প্রায় সবাই নিজ পিতাকে  'Best dad in the world' বলার চেষ্টা করেন। স্ট্যাটিসটিক্যালি স্পিকিং, বেস্ট বলতে হলে একই জাতীয় এন্টিটির সাথে তুলনা করে বেস্ট বাছাই করতে হয়। এই দৃষ্টিকোণ থেকে দেখতে হলে একটা প্রশ্ন সহজাতভাবেই চলে আসে, 'আপনার কি আরও দু-একজন পিতা আছে যাদের সাথে আপনার উল্লেখ্য বেস্ট পিতা কম্প্যারেবল?' তর্কের খাতিরে ধরে নিলাম আপনি অন্যদের পিতাদের সাথে তুলনা করে নিজ পিতাকে বেস্ট বলছেন, সেক্ষেত্রে তু… See more",M
"এইটা কামের কাম হইতেছে, শিক্ষাক্ষেত্রে ট্যাকা পয়সা ছড়ায়া হবে টা কি!
অদ্ভুত কামকাজ; অবশ্য এরা খালি কাম ডাই বোঝে, কাজডা আর বোঝে না।
ছাত্রলীগের মতো ক্যাডার আর সহমত ছ্যাচড়া (দু-একজন বাদে) তৈরী তো হবে না শিক্ষা ক্ষেত্রে বাজেট বাড়ালে।",M
"ড. জাকির হোসেনকে করা ফারজানা মিথিলা, মাসুদা ভাট্টির প্রশ্নগুলো মনে পড়ে গেল। গর্ধভ প্রকৃতির মানুষের গর্ধভ প্রকৃতির প্রশ্ন এবং গর্ধভ প্রকৃতির বুঝতে পারার অপার ক্ষমতার সুন্দর রিপ্রেজেন্টেশন।",M
I feel this.....on....so...many...... levels....on ..the daily.,M
"This guy is like 'I don't give a shit about whatever the shit the critics talk about me, I do what I do and I will keep doing it. Nothing can stop me'. I like that spirit.",M
"★যে আপডেট কেউ চায়নি★
আজ থেকে শুরু হয়েছে এস. পি. পিকচার্স প্রযোজিত সিনেমা 'শ্যামবাজার' এর শ্যুটিং। এতে অভিনয় করবেন হিরো আলম, রিয়া মনি, সোমাকাশ, তনু পান্ডে, হিম… See more",M
"গ্যাদার পানি নাড়া আর কাদা ছানাছানি সেই পছন্দ। লিয়্যা গেচিল্যাম এক লেকে গত শনিবার। আমি গ্যাদাক লিয়্যা আচি, মিনহোয়াইল, তার মা শাড়ী পইড়্যা নিজেক কাজল ভাইব্যা ভাবের ঠ্যালায় কাইত-ক্যুত অয়া ছবি তুইলত্যাচে।",M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
