status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
সপরিবারে ঈদের  দাওয়াতে যাওয়ার আগে আমরা!,M
"""ছাইড়া দে মা কাইন্দা বাঁচি বুয়েটে পড়ব না"" - ১৮ বছর হয়ে গেছে এই গানের, ভাবতেই পারছি না!! বুয়েটে ২০০৫-এ আমার ডিপার্ট্মেন্টের উৎসব ‘ইলেকট্রিক্যাল ডে’-তে এই গানটা গেয়েছিলাম। ইউটিউবে আপলোড করেছিলাম আরও দু’বছর পর। 
হুট করে কত শত স্মৃতি ভর করলো মাথায়। আমার থাকার জায়গা যদিও ছিল ড. এম এ রশীদ হল, আমি বেশিরভাগ সময় থাকতাম সোহরাওয়ার্দী হলে। ঐ হলের নিচতলায় ১০০৯ আর ১০১০ নম্বর ঘরে সবাই ছিল আমাদের নবাগত HSC ’04 ব্যাচের। ওখানেই আড্ডা হতো, গান হতো। বন্ধু শিপলু (আহসান হাবীব, আইপিই, এখন সহকারী অধ… See more",M
"""ফাটাফাটি"" মুভিতে আমার কথা ও সুরে ""স্বপ্ন বোনার সময় এখন"" গানটি নারীকণ্ঠে গেয়েছেন আমার খুব প্রিয় শিল্পী অন্বেষা দত্তগুপ্ত",M
"দুই বাংলার শিল্পী যখন একসাথে বোনে একটা স্বপ্নের গান!
চমক হাসানের কথা ও সুরে অন্বেষা দত্তগুপ্তের কন্ঠে 'স্বপ্ন বোনার সময় এখন'।
'স্বপ্ন বোনার সময় এখন' (Female … See more",M
"পৃথিবীর কক্ষপথ আর অক্ষরেখা বদলে গিয়ে কী করে বরফ যুগ আসে, ঊষ্ণায়ন আর শীতলায়নের চক্র তৈরি হয়, জলবায়ু পরিবর্তনের প্রভাব বাংলাদেশে কেমন হতে পারে আর আমাদের করণীয় কী, এসব নিয়ে বলেছেন ইউনিভার্সিটি অফ টেক্সাস- অস্টিনের অধ্যাপক ড. নাভিদ সালেহ।   
আগের অংশ: https://youtu.be/V5upCTDrlbY
#chamok #chamok_hasan #shuntechai",M
শুনতে চাই - দ্বিতীয় খণ্ড আসছে আজ শুক্রবার রাত ৯ টায়,M
"প্রথম পর্বে আমরা কথা বলেছি জলবায়ু পরিবর্তনের গণিত, আলাস্কা ভ্রমণের অভিজ্ঞতা - এমন সব বিষয় নিয়ে।
ইউটিউবে দেখতে চাইলে - https://youtu.be/V5upCTDrlbY",M
শুক্রবার রাত ৯ টায় আসছে... শুনতে চাই পর্ব ১ খণ্ড ১,M
