status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"সংসার রঙ্গ: আমার মাংস পোড়ানোর প্রতিভা
.
প্রথম তিনবারের গল্প ঠিক একই রকম। বহ্নি আমাকে বলে গেল- “মাংস চুলায় থাকল, আমি বাচ্চাকে খাওয়াতে গেলাম। তুমি প্লিজ মাংসটা একটু দেখো, যেন পুড়ে না যায়”। আমি দারুণ আত্মবিশ্বাসের সঙ্গে তাকে অভয় দিলাম। তারপর বহ্নি চলে যাওয়ার সাথে সাথে- আমার মাথার ভেতরে নানান রকম গান, কবিতা, ছন্দ- এমন সৃষ্টিশীলতার মহড়া শুরু হয়ে গেল। কী দারুণ সব সুর মাথায় এলো। গিটার নিয়ে বসলাম। জোরে বাজালে বাচ্চা উঠে যেতে পারে তাই অন্য ঘরে গেলাম। একটার পর একটা গান, আহা !
.
ভাবের ম… See more",M
"পরশমণির বয়স কত, নিজেই জানিয়েছেন তিনি। সেই সাথে- আপার স্কুলে পড়তে যাওয়ার ব্যাপারে তার আন্তরিক ইচ্ছার বিষয়টিও তিনি আমাদেরকে অবহিত করেছেন...",M
"১২ মিনিটে বিয়ের সাজ! 
.
পুরনো ছবি ঘাঁটতে গিয়ে এই ছবিটা সামনে এলো। বছরখানেক আগে, আমাদের সান্টা ক্লারিটা শহরে বাংলাদেশী কমিউনিটির একটা বিয়ের অনুষ্ঠানে ছবিটা তোলা। এর আগে কয়েকদিন ধরেই ছিল পরশমণির জ্বর। বিয়েতে যাওয়ার খুব ইচ্ছে ছিল তোমার, কিন্তু মেয়ের কথা ভেবে ঠিক করলে অনুষ্ঠানে যাবে না। 
.
সন্ধ্যায় দাওয়াত, বিকেলবেলা পরশমণির জ্বর ছাড়ল। অনুষ্ঠান শুরুর অল্প কিছুক্ষণ আগে তোমাকে বললাম - চলো যাই। তুমি বললে, “মাথা খারাপ! এত শর্ট নোটিসে সেজেগুজে শাড়ি পরে কি বিয়ের দাওয়াতে যাওয়া সম্ভব?” অত… See more",M
"5 বছর আগে, বড় কন্যা বর্ণমালার তখন 20 মাস বয়স| আমাদের বিয়েতে দোয়া দিয়েছিল... Feroza Binte Omar দেখো, কত তাড়াতাড়ি বড় হয়ে যাচ্ছে মেয়েটা!!",M
আমার বিয়েতে বর্ণমালার দোয়া ,M
বাবার সাথে সন্ধ্যাকালীন হাঁটাহাঁটি...। আমাদের এপার্ট্মেন্টের কাছেই বর্ণমালার স্কুল। সেখানে যাওয়ার জন্য পরশমণির তর সইছে না।,M
খাওয়ার টেবিলে পরশমণি এনে দিলো এক চিলতে বিনোদন ,M
"আমাদের দুই থেকে চার হওয়া...
নিজেদের নতুন-পুরনো ছবি দেখতে দেখতে চার লাইনের গান বেঁধে ফেলতে ইচ্ছে হলো।",M
