status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"কিছু সাহিত্য প্রেমি ও লেখকদের সাথে একটি সন্ধ্যা।
জীবনে চলার পথে এমন কিছু সন্ধ্যা নামুক",M
একজন ভীষণ ঠান্ডা মাথার মানুষ ,M
"ইন্ডিয়ার ভাইলোক বলতেছে তারা রপ্তানি না করলে আমরা(বাংলাদেশিরা) নাকি না খেয়ে মরতাম। 
এখন অ*কৃতজ্ঞ ইমন মৃধা'র মাথায় প্রশ্ন জাগে 'আমরাও তো আমেরিকা,ইউরোপ সহ কতো দেশে পোশাক রপ্তানি করি। আমরা রপ্তানি না করলে কি তারা উ*লঙ্গ থাকতো?'",M
"তাইতো থাকিনি তোমাদের মাঝে,
হারিয়ে ফিরেছি রোজ।
পত্রিকার পাতায় লিখে দিও,
নিজ থেকেই ""নিখোঁজ""।
     — নিখোঁজ —… See more",M
"ক্ষমা যদি চাইতে হয় তবে বাবা মা বেঁচে থাকতে তাদের পা ধরে ক্ষমা চেয়ে নেন। তাদের সাথে ওয়াদা করেন আর কখনো বেয়াদবি করবে না।
সারাজীবন বাবা মায়ের সঙ্গে বেয়াদবি করে মরার পরে একটা লাশের পায়ে ধরে কান্নাকাটি করে ক্ষমা চেয়ে কি লাভ?",M
"গত দুইদিনে পড়া দুইটা বই।
এতো রোমান্টিক ক্যা?",M
"ফ্রেন্ড লিস্টে থাকা লেখকদের দৃষ্টি আকর্ষণ করতেছি। 
শুনলাম ইন্ডিয়ার ভাইলোক নাকি বাংলাদেশের বই বয়কট করবে। এমন হলে আপনাদের কি হবে তা ভাবতেই আমার হাত-পা ঠান্ডা হয়ে যাচ্ছে।  আপনারা তো একদম পথে নেমে যাবেন। না খেয়ে থাকতে হবে। বউ বাচ্চা নিয়ে ভিক্ষা করাও লাগতে পারে।(যাদের বউ বাচ্চা নাই তাদের জন্য ডাবল সমবেদনা) 
এখন এই নমিনেশন এর সিজনে ২,৪ টা নমিনেশন কিনে জমা দিয়ে দেখতে পারেন। যদি এমপি,মন্ত্রী কিছু একটা হয়ে যান তাও দুই চারটা খেয়ে বিবি বাচ্চা নিয়ে বেঁচে থাকতে তো পারবেন।",M
"""ভীষণ রকম প্রয়োজন""
লেখা ও কন্ঠে: ইমন মৃধা। 
ভিডিও: #সংগৃহীত",M
"মানুষতান্ত্রিক এই সমাজে, 
আমিও কিছু মানুষ পুষি।
কাউকে টাকা দিয়ে কিংবা সময় দিয়ে, 
কেউ কেউ শুধু ভালোবাসায় খুশি।
     — মানুষ পুষি —… See more",M
মাগনা নেহি খাতা হে।,M
"আমাদের পাড়ার আদা লেবুর চা বিক্রেতা সুমন দা কি সেই ২৩০ টাকার জিঞ্জার এন্ড লেমন টি এর ভিডিওটা দেখেছে?
ইয়ে মানে সে একবার চা ৬ টাকা থেকে ৭টাকা করেছিলো। আমরা সবাই আন্দোলন করে সেই চা আবার ৬ টাকা বানিয়েছিলাম। ",M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
