status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"জানাযায় অংশগ্রহণের আবেদন
সফিউদ্দিন সরকার একাডেমি এন্ড কলেজ গভর্নিং বডির সম্মানিত সভাপতি ভাষাসৈনিক মোঃ আব্দুল মতিন চৌধুরী গতকাল ৪ নভেম্বর ২০২৩, শনিবার, রাত ১১.৪০টায় উত্তরার একটি হাসপাতালে চিকিৎসাধীন থাকা অবস্থায় ইন্তেকাল করেছেন। ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন। 
মরহুমের নামাজে জানাযা আজ ৫ নভেম্বর ২০২৩, রবিবার, বেলা ১১টায়  সফিউদ্দিন সরকার একাডেমি এন্ড কলেজ মাঠে অনুষ্ঠিত হবে। জানাযায় অংশগ্রহণ করে মরহুমের আত্মার মাগফিরাত কামনা করার জন্য অভিভাবক, শিক্ষক, শিক্ষার্থীসহ সকলকে অনুরোধ করা যাচ্ছে।",M
"আমরা শোকাহত 
সফিউদ্দিন সরকার একাডেমি এন্ড কলেজ গভর্নিং বডির সম্মানিত সভাপতি ভাষাসৈনিক মোঃ আব্দুল মতিন চৌধুরী গতকাল ৪ নভেম্বর ২০২৩, শনিবার, রাত ১১.৪০টায় উত্তরার … See more",M
"আমরা শোকাহত 
সফিউদ্দিন সরকার একাডেমি এন্ড কলেজ গভর্নিং বডির সম্মানিত সভাপতি ভাষাসৈনিক মোঃ আব্দুল মতিন চৌধুরী গতকাল ৪ নভেম্বর ২০২৩, শনিবার, রাত ১১.৪০টায় উত্তরার একটি হাসপাতালে চিকিৎসাধীন থাকা অবস্থায় ইন্তেকাল করেছেন। ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন। তিনি বার্ধক্যজনিত নানা ধরনের শারীরিক জটিলতায় ভুগছিলেন। আমরা তাঁর বিদেহী আত্মার মাগফিরাত কামনা করছি ও শোক সন্তপ্ত পরিবারের প্রতি গভীর সমবেদনা জ্ঞাপন করছি। আল্লাহ সুবাহানাহু ওয়া তায়া'লা যেন সকল ভুলত্রুটি ক্ষমা করে তাঁকে জান্না… See more",M
"প্রকৃতির অপরূপ সৌন্দর্যে মুগ্ধ আমার দুই কন্যা। নীলগিরি, বান্দরবান।",M
"নতুন শিক্ষাক্রম ও অভিভাবকদের অস্বস্তি : প্রসঙ্গ কথা
(লেখাটি একটু বড় হলো, কারণ আগুন জ্বালাতে একটি দিয়াশলাই কাঠিই যথেষ্ট। কিন্তু নিভাতে হাজার হাজার গ্যালন পানির দরকার হয়। অভিভাবক ও সচেতনদের একটু কষ্ট করে পড়ে নেয়ার অনুরোধ করছি।)
---------------------------------------------------------
সকালে অফিসে প্রবেশের একটু পরেই দুজন শিক্ষার্থী নতুন শিক্ষাক্রমের বিরুদ্ধে প্রচারণার অংশ হিসেবে আমার কাছে এলেন। তারা একটি ছাত্র সংগঠনের সদস্য। আমি কৌতুহল থেকেই বর্তমান শিক্ষাক্রম সম্পর্কে তাদের ধার… See more",M
যিনি বানিয়েছেন - আল্লাহ উনাকে সম্মানিত করুন!,M
"Swayambhu Mahachaitya, Kathmandu, Nepal",M
