status,author
"Greetings Everyone.... 
আমি অনেক আনন্দের সাথে জানাচ্ছি আগামী ১৫ ই সেপ্টেম্বর ২০২৩ আমি Keynote Speaker  হিসাবে  ইন্টারন্যাশনাল সেমিনার অন ""Flavours of Wellness: Exploring Recent Nutritional Trends"" অংশগ্রহণ করছি। আরো থাকছেন Dt Shreyoshi Bhaumick Sinha  ম্যাম।
Invited speaker হিসাবে  থাকছে সবার পছন্দ Dietitian Dipanwita Saha 
আমি ধন্যবাদ জ্ঞাপন করছি Bankura Sammilani College এর সংশ্লিষ্ট সবাইকে।… See more",F
The ছুটা বুয়া,F
"Respect from Bangladesh... 
#NetajiSubhasChandraBose",F
,F
,F
,F
,F
,F
Nutri Adda on Renal Disorders | International Discussion,F
প্রিয় মুখ প্রিয় মানুষ ,F
"Right side First Person Our honourable Vice Principle Naimun Nahar 
Nutritionist at Pancare Hospital Ltd. Dear Sazia Mahmood apu ex. NCHE students 
One of my favourite person The evergreen Principal Mam Nurun Nahar Begum… See more",F
"Date 01.06.2023
The Honorable Principal  
Professor Soniya Begum
Govt. College of Applied Human Sciences … See more",F
"I am absolutely thrilled and filled with immense honor to share my vocation story and this picture which led me to become pride.
Respectively, from the right side first person-- 
Mr. Ravindra Pai… See more",F
"ICNU : Peerless Inn
Kolkata 
P. C. Masuma Chowdhury",F
"বিষয় : কলকাতা পিয়ারলেস হসপিটাল - কনফারেন্স প্রসঙ্গে! 
কনফারেন্সের তারিখ আগামী ৫/০৫/২০২৩ শুক্রবার এবং ৬/০৫/২০২৩ শনিবার। 
বাংলাদেশ থেকে এর আগে ২০১৯ সালে ১০ জন মিলে অংশগ্রহণ করেছিল। প্রোগ্রাম টি আমাদের তরফ থেকে Mahfuza Afroz Shathi আপা পরিচালনা করেন। গত বছরেও অনলাইনে অনেকে যুক্ত হয়েছিলেন। কিন্তু এবার অনলাইনে যুক্ত হওয়ার কোন সুযোগ নেই।
তাই স্বশরীরে উপস্থিত থাকার জন্য আহবান করা হচ্ছে।… See more",F
মেলায় আমার সেরা ছবি।।,F
"দাবায় রাখতে পারবা না।।
প্রিয় উক্তি
আমার বইয়ের সেরা ছবি।
Thanks তৌফিকা নূর বুশরা Fatematues Juhora Jarifah Muztabirah",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
