status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"আজব এই দুনিয়ায় আজব মানুষ সেটাই করে, যেটা তার নাই -
যে মানুষ দামী দামী খাবার রান্না করে, দিনশেষে সে-ই ভালো খাবার পায় না 
যে মানুষগুলো  দামী দামী কাপড় তৈরি করে, দিনশেষে তাদের  দামী পোষাক নাই। … See more",M
"ভারতকে একমাত্র বাংলাদেশই রুখতে পারে! 
আজকের প্রেডিকশন দিচ্ছি,  ২৫ রান অথবা ৪ উইকেটে বাংলাদেশ জয় পাবে।",M
"মুসলমান ভাইদের মৃত্যুর সংবাদ শুনতে শুনতে বুক ফেটে যাচ্ছে! 
আচ্ছা এতগুলো মুসলিম শক্তিধর দেশগুলোর কারো কি ক্ষমতা নেই ওই ধূর্ত ইসরায়েলকে ধ্বংস করার?
না থাকলে বর্ডার নীতি উঠিয়ে আমাদের যেতে দেওয়া হোক। আমরা যুদ্ধ করব।",M
"বাংলাদেশের বোলাররা একেকটা আগুনের গোলা
মাত্র ১৫৬ রানে লেজ গুটালো আফগানিস্তান",M
"Happy birthday vaiya
Dua kori onek onek valo thako and
Samner bosor pola pan sate niye jeno jonno din palon korte paro",M
"কেন অক্টোবর আমার কাছে স্পেশাল! 
কারণ,  এই মাসেই জন্ম নেয় এক দুষ্ট শিশু!
যার ১৯ তম জন্ম বার্ষিকীতে এই মাসেই বিবাহ হয়!",M
"স্বপ্নের বাইক!
ছুয়ে দেখেছি বহুবার -
মোবাইল স্ক্রীনে
বন্ধুদেরও ছিলো বটে -
কখনো তাদের বলা হয়ে ওঠেনি~… See more",M
"আমি সিওর এই রুটি গুলোর চরিত্রে problem আছে,,মেয়েদের হাতে ছাড়া এরা গোল হতেই চাই না,,,,শাল্লার লু*চ্চা রুটি,,",M
"সাকিব ভালো মানের প্লেয়ার★
বাট ভালো মনের লোক না",M
"আমরা বাঙালিরা পৃথিবীর সবচেয়ে হীনমন্য এবং নিকৃষ্ট বোধহয়! 
আমরা পাকিস্তানের রিজওয়ানের ধর্মপ্রেম নিয়ে আহ্লাদে আটখানা হই,
আমরা দক্ষিণ আফ্রিকার হাশিম আমলার ধর্মভীরুতা দেখে বাহবা দিই।
আমরা ইংল্যান্ডের মঈন আলীর গুণগান করি।… See more",M
"Maysa Islam Khadija Imran Hossen,,, তবুও তুই আমার Best Friend,,, ",M
"গতকাল রাতে আমার আব্বুর থেকে ৪০০০০ টাকা ছিনতাই হয়েছে! 
এই আমার সোনার বাংলাদেশ!   যারা আমাকে চিনে তারা জানে কতটা স্ট্রাগল করছি আমি এবং আমার পরিবার!  তারমধ্যে এতবড় একটা ধাক্কা 
জানি না কী হবে ",M
"বউয়ের লগে বাজি ধরছিলাম যে, আজ বাংলাদেশ জিতবেই! বলছিলাম ৫ রানে জিতবে! 
অবশেষে ৬ রানে জয় পেয়েছি।
এই আনন্দ এশিয়া জয়ের মতই",M
"আলহামদুলিল্লাহ ভারতকে প্যাকেট করে দিলাম 
আমার এটাই এশিয়া কাপ ",M
"বাংলাদেশের ব্যাটারদের মুখে চুনকালি ঘষা উচিত। 
বোলাররাই সেরা!",M
"এই মুহুর্তে  মাহমুদউল্লাহর কথা বড্ড মনে পড়ছে! 
মিস ইউ লিজেন্ড ",M
