status,author
,F
,F
,F
,F
,F
,F
Pakka,F
,F
,F
Mee right now ,F
"This teacher definitely needs to get famous ....
This needs to be replicated in all schools. 
Disclaimer: This video has been stolen from Leelavati Lilly… See more",F
,F
,F
No campus sharing with murderer!,F
"আবরার ফাহাদ হত্যাকান্ডে বুয়েট থেকে বহিষ্কৃত আশিকুল ইসলাম বিটুর ক্লাসে ফেরার ঘটনায়, বুয়েট প্রশাসনের পক্ষ থেকে দৃশ্যমান কোনো পদক্ষেপ না আসায়, একাডেমিক কার্যক্রম ব… See more",F
"""আশিকুল ইসলাম বিটু, (কেমিক্যাল'১৬) এসে আমাকে বেল্ট দিয়ে নগ্ন পিঠে অবিরত এবং তারা ক্লান্ত না হওয়া পর্যন্ত পালাক্রমে মারতে থাকে”
- Abrar Shahriare '17 
এরকম কুখ্যাত র
‍
্যাগার, আবরার ভাইয়ের খুনি বিটুর সাথে কোনো আপোষ হবে না।
#No_Campus_Sharing_with_Murderer… See more",F
"United we stand, 
United we stand against student politics on our campus, 
United we stand for a safe BUET.",F
সাংগঠনিক ছাত্ররাজনীতি এর বিরুদ্ধে শপথ || BUET Cafeteria,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"Unse mili nazar ke mere hosh ud gai
#Maxwellvelocitydistributionfact",F
Happy New Year ,F
"২৩ সাল সর্ট এবং ওপেন সার্কিটময় হোক!
 Happy New Year!",F
সবাই আমার ইচ্ছার আত্মার মাগফেরাত কামনা করুন,F
"(0091)
আপনারা যারা মিডব্রেক এ কোপায়ে পড়তে চাইছিলেন তারা কেমন আছেন?
আপনাদের ইচ্ছার অকালমৃত্যুর শোক উদযাপন করছি!… See more",F
,F
"Good day, Fellas!!
Experiencing unexpected resistance everywhere at the start of BUET life? Need some extra Electromotive force!?
Please be patient! Here's th… See more",F
,F
"Are you prepared for a surprise, EEE'21!?
The Electromania would be incomplete without a show-stopper, and Level Five will take the stage at 9 p.m. on December … See more",F
"EEE আসছে
বুয়েট কাঁপছে !!!!!!",F
"What the day! 
সকাল থেকে দৌড়-ঝাপ,  খোঁজাখুঁজি, Puzzle, Math, আড্ডা, গান! 
আর সব থেকে ইম্পর্ট্যান্ট, সিনিয়র ভাইয়াদের সাথে কন্টাক্ট! আমিতো বলবো আপনরা বেস্ট ইভার সিনিয়রsss, শুধু করলার জুস না খাওয়ালেও পারতেন । বাট ইটস ওকে 
।
𝙎… See more",F
"টানা এক সপ্তাহ খাটুনির পর বছরের one of the best photos!!
#EEE20xEEE21",F
"Best day
#EEE20xEEE21",F
"টানা এক সপ্তাহ খাটুনির পর বছরের one of the best photos!!
#EEE20xEEE21",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
আবেগ আপ্লুত হয়ে গেলাম,F
"""Let's be the cells of a battery, so that our tiny potential can create a huge potential difference in the world.""
Credit: Md. Nazmus Sakib",F
""" Nɪᴊᴇʀ Nᴀᴍᴇ Lɪᴋʜᴏ '
Ꭺ
       Ᏼ
        Ꮯ
       Ꭰ
       Ꭼ
     F
        Ꮹ
        Ꮋ
       Ꮖ
        J
 K
        … See more",F
