status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
Tit for Tat #BanVsSl,M
"বামের বাচ্চাটার রাতে বাইরে থাকার অনুমতি নেই, কিন্তু ডানের বাচ্চাটার বাইরে থাকার অনুমতি আছে।
ইউনিসেফের বিজ্ঞাপনে, পথ শিশুদের সাহায্য করার কথা বলা হচ্ছে।
আমি মনে হয়, ইদানিং একটু হৃদয়হীন হয়ে গেছি। ভেতর থেকে মানবিকতা কমে যাচ্ছে।… See more",M
Ind Vs Ned ,M
"আমার কাজ আসলে শুরু হবে বিশ্বকাপের পর : হাথুরু
আপনারা কি বলেন?",M
"পৃ‌থিবীর বৈধ সকল শ্রমই সম্মা‌নিয়। আমা‌দের দৈন‌ন্দিন জীব‌নে, নানা পেশার মানু‌ষের শ্রমের বি‌নিম‌য়ে আমা‌দের জীবন সহজ হয়। যে মানুষ‌টি ম‌্যান‌হোল প‌রিস্কার ক‌রে, সে কাজ না কর‌লে, আমা‌দের জীবন দু‌র্বিসহ হ‌য়ে উঠ‌বে।
উন্নত দে‌শে সকল পেশা, সকল শ্রম‌কে সম্মা‌নের চো‌খে দে‌খা হয়। আমা‌দের দেশ তেমন না ব‌লে আমরা দুঃখ প্রকাশ ক‌রি। আমরা কামনা ক‌রি, যেন আমা‌দের দে‌শেও সেটা হয়। 
আমা‌দের শিক্ষা পদ্ধ‌তি‌তে সমস‌্যা আ‌ছে। আমরা অপ্রয়োজ‌নে, উচ্চ শিক্ষা অর্জন ক‌রি। ত‌বে উচ্চ শিক্ষা নেয়া অপরাধ না।… See more",M
"কত কিছুদিন রাজনীতি থেকে বুঝা গেলো, "" আওয়ামীলীগ আর বিএনপি এর মধ্যে তেমন বিস্তর ফারাক নেই।
যেভাবে সমাবেশ এর মধ্যে কাউয়া কাদের নিয়ে গান করলো সেটা অতিরঞ্জিত। এতে বুঝা যায় তারা ক্ষমতায় আসলে কি করবে। 
বাংলাদেশে দেশ প্রেম এর চেয়ে দল প্রেম বেশী। তাই দেশ এর উন্নয়ন এর চেয়ে দল এর উন্নয়ন ভালো হয়ে",M
একজন সফল ফ্রিল্যান্সার #ফ্রিল্যান্সার #বাংলাদেশী_ফ্রিল্যান্সার #আওয়ামীলীগ_বিএনপি #সমাবেশ #আওয়ামীলীগ_সমাবেশ #বিএনপি_সমাবেশ #হরতাল,M
"বাংলাদেশ ক্রিকেট দল কিংবা বাংলাদেশের রাজনীতির যে অবস্থা তার জন্য সবচেয়ে বেশি দায়ী আমরা সাধারণ জনগণ। একদিন ভালো খেললে মাথায় তুলে রাখি দেখে ওরা ভাবে এভাবেই কেটে যাবে। একটা ব্রীজ বা কালভার্ট বানালে যেখাবে ধন্যবাদ দিয়ে মুখে ফেনা তুলে ফেলি অনেকটা সেরকম। ভাব দেখে মনে হয় নিজের পকেটের টাকায় করা হয়েছে।
আমরা অল্পতেই এতো খুশি হই যে অতীত ভুলে যাই, অপরাধীকে মাফ করে দেই। ঠিক যেমন একাত্তরের গাদ্দারদের বঙ্গবন্ধু সাধারণ ক্ষমা ঘোষণা করেছিলেন সেরকম। তারপর সেই ক্ষমা পেয়ে তারা যা খুশি তাই করেছে।… See more",M
দুজনের থেকেই সেই হারে কষ্ট পাচ্ছি ,M
