status,author
,F
,F
,F
,F
,F
,F
,F
গাসকে লাই দিয়ে মাথায় তুলে ফেলেছি। সে কোন কথা শোনে না।,F
"মজাদার খাওয়া দাওয়া। গতকাল গিয়েছিলাম দি অলিভ নামের এক Mediterranean restaurant এ। নানা ধরনের কাবাব, ভাত আর রুটি।
মজার বিষয় হলো দোকানের মাংস হালাল হলেও এখানে বার আছে।",F
পিতিবিতে কেউ আমাকে খেতে দেয় না। তাই বউমার স্যান্ডেল কুট কুট করে কামড়ে খাই।,F
"চা এবং টা 
বহুদিন আগে ১৯৮৬-৮৭ সালের দিকে বুয়েট অডিটোরিয়ামে একটা নাটক দেখেছিলাম। নটকের নাম বা গ্রুপের নাম মনে নেই। ওই নাটকে তারিক আনাম খান অভিনয় করেছিলেন একজন শ্রমজিবি বস্তিবাসী মানুষের চরিত্রে। সেই চরিত্রের বারবার উচ্চারিত একটা সংলাপ ছিল, ""আমারে চা দে, আমারে টোস বিস্কুট দে, আমি চায়ে চুবাইয়া টোস বিস্কুট খামু।"" এটা দিয়ে ওই নাটকে অর্থনৈতিকভাবে দুর্বল মানুষের একটা ছোট্ট শৌখিনতাকে ফুটিয়ে তোলা হয়েছে। 
রাতে বা সকালে ঘুম ভাঙলেই মোবাইলে সময় দেখে মনে করার চেষ্টা করি আজ কি বার? অফিস আছ… See more",F
Pot holder (লুছনি বা হাতা) বানিয়েছি। কারো লাগবে?,F
লেপ এবং বালিশ ছাড়া এমন শান্তির ঘুম দিতে পারে কে? সে আমাদের গাস ছাড়া আবার কে?,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"#প্রিয়_ভূতেরা_২  
অতৃপ্ত আত্মা (ভূতের গল্প) 
ব্রিটিশ ইস্ট ইন্ডিয়া কোম্পানির লন্ডন অফিসের হিসাব রক্ষক ডেভিড হ্যারিকেনের মৃদু আলোতে টেবিলের উপরে ঝুঁকে পরে হিসাব মিলাতে ব্যস্ত। এমন সময় ওর বস ফিলিপ এসে বলল, 'কি ব্যাপার, তুমি এখনো যাওনি? তুমি না আমার কাছ থেকে ছুটি নিলে তোমার অসুস্থ স্ত্রীকে দেখতে শ্বশুর বাড়ি যাবে বলে?'  
- এইতো এখনই যাব। এই হিসাবটা শেষ করে। … See more",F
২৮ সেপ্টেম্বর ২০২১ এ আমার বাগান বিলাস। অনেক ফুল ফুটেছিল তখন।,F
"ঘরের সামনের বাগান বিলাস, পানি দিয়ে ঘাসগুলোকে টিকিয়ে রেখেছি অনেক কষ্টে। #losangeles",F
"সিনেমা
জীবনে প্রথম সিনেমা কবে দেখেছিলাম মনে নেই তবে সেটা আমি যখন ক্লাস সিক্সে পড়ি তখন বোনদের সাথে পটুয়াখালীর লাইট হাউস সিনেমা হলে হওয়ার সম্ভাবনাই বেশি। প্রথমে সিনেমার পর্দায় মানুষের চলাফেরার কাঁপাকাঁপির ছবির সাথে চোখ এবং বেশ শব্দ করে কথা বলার সাথে কান অভ্যস্ত হতে সময় নিয়েছিল। অনেকক্ষণ ভালো বুঝতে পারিনি। 
ক্লাস সেভেনে পড়াশোনা করতে ঢাকা গেলাম। তখন আমাদের বাসায় দৈনিক ইত্তেফাক রাখা হতো। আমার মেজোভাই (বুকুভাই) ডাক্তার, তিনি আমাকে আর আমার বোনের মেয়ে কনাকে বললেন, 'রোজ পেপার পড়বি, আ… See more",F
