status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
"পাখি কয় প্রকার ও কী কী? সংজ্ঞাসহ উদাহরণ জানাতে ""কাজ-কাম নাই ফিল্মস"" এর অষ্টম পরিবেশনা-- বেঈমান পাখি। 
বিদ্যুৎ সঙ্কটে ""পায়রা"" পাখিটা মিস হয়ে গেছে ",M
"অক্টাল ১০ বছর এনিভার্সারি। (non-cse রা আবার ২ লাইন বেশি বুইঝেন না 
)
বিয়ের শুরু থেকেই সংসারের বড় বড় সিদ্ধান্তগুলো আমি নেই- এই যেমন কাছের বয়াম এর মুখ কেমনে খুলতে হবে। গেষ্ট আসার আগে বাসা কিভাবে ভ্যাকুয়াম+ক্লিন করতে হবে, বাচ্চার ডায়পার কখন+কিভাবে চেইঞ্জ হবে, ইত্যাদি। আর ছোট ছোট সিদ্ধান্ত গুলো বউ নেয়। এই যেমন-- আমরা কোন শহরে থাকবো। একজাক্টলি কোন বাসাটা ভাড়া নিবো, নাকি নিবো না। কখন আমরা দেশে যাবো। বাচ্চা কোন স্কুলে পড়বে। মানি ম্যানেজমেন্ট স্ট্র্যাটেজি কেমন হবে। এই রকম ছোটখাটো পু… See more",M
"আমার ২১ টি ইনকাম/বিজনেস এর চেষ্টা:
১. সেলস কমিশন:
জীবনের প্রথম সেলস কমিশন পাই আম্মুর কাছ থেকে। আমাদের জমির ডাটা শাক, সব্জি, কুমড়া আর গাছের নারিকেল বিক্রি করতে পাঠাতেন। প্রতি রবি আর বৃহস্পতিবার গ্রামের হাটে। উনি দাম বলে দিতেন। যেমন, নারিকেল জোড়া দাম চাইবি ১৫ টাকা। ১৩ টাকা হলে দিয়ে দিবি। আবার সন্ধ্যার সময় কেউ যদি ১১ টাকা বলে তাহলেও দিয়ে দিবি। এর কম বললে বিক্রি করবি না। বাসায় নিয়ে আসবি। আর বিক্রির টাকা থেকে ২ টাকা দিয়ে কিছু কিনে খাবি। খুবই সিম্পল। ক্লাস ৫-৬-৭ এর একজন বাচ্চার জন্… See more",M
"Eid Mubarak 
Uncle/Aunty, send my eid salami to my unpaid interns",M
"কিছু ডিমোটিভেটিং কথাবার্তা 
১) দিন যত যায়-- জীবন তত কঠিন হয়। 
একসময় থাকে শুধু পড়ালেখার চিন্তা। এরপর আসে চাকরি পাওয়া ও সংসারের হাল ধরার চিন্তা। তারপর আসে--চাকরি, সংসারের হাল এবং বিয়ে করার চিন্তা। এরপর আসে-- চাকরি, সংসারের হাল, বিয়ে এবং শ্বশুর বাড়ির ক্যাঁচাল ম্যানেজ করার চিন্তা। তারপর আসে-- চাকরি টিকানো, সংসার টিকানো, বাচ্চা-কাচ্চা পালা, বাচ্চা-কাচ্চার স্কুল, বাবা-মা বয়স্ক হয়ে গেলে তাদের সেবা-ডাক্তার দেখানো। অর্থাৎ জীবন যত এগোবে-- জীবনের টেনশন, প্রেসার, ঝামেলা, রেসপনসিবিলিটি, জ… See more",M
"আমি সিদ্ধান্ত নিয়েছি-- রাজনীতিতে জয়েন করবো।  
পুরান কোন রাজনৈতিক দলে না। বরং আমি নিজেই একটা রাজনৈতিক দল চালু করেছি--  AI GPT পার্টি।  
আমরা কোন প্রচার প্রচারণা চালাবো না। জাস্ট আমাদের দলে যোগ না দিলে---- অটো চাকরি খেয়ে দিবো।",M
