status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"শুভ জন্মদিন Java 
প্রায় এক দশক আগে প্রথমে পরসিলাম Head first Java, তারপর Herbert Shildt এর বই,সাথে একটা deitel এর বইও কিনসিলাম-তবে ঐটা আর পড়ে দেখা হয়নাই।
জাভা এখন ২৫ বছরের এডাল্ট 
#movedByJava #25years",M
My friend Mahdi Mashrur Matin on principles of securing any systems.,M
"As announced in the earlier post, we’re kicking off a new series entitled “TechLive”. Our first venture in this project will be a three episode “Hands on Securi… See more",M
"যারা লাইভ মিস করেছেন!
রেকর্ডেড লাইভ দেখে ফেলুন!
Mahdi Mashrur Matin ভাইয়ের অসাধারণ সেশন সিকিউরিটির উপর!",M
"As announced in the earlier post, we’re kicking off a new series entitled “TechLive”. Our first venture in this project will be a three episode “Hands on Securi… See more",M
We're live with one of the youngest security experts of the country - Mahdi Mashrur Matin bhai. He'll be talking about 10 basic principles of computer security. Feel free to join!,M
"As announced in the earlier post, we’re kicking off a new series entitled “TechLive”. Our first venture in this project will be a three episode “Hands on Securi… See more",M
"Will be live in 5 minutes from BSADD's fb page & youtube channel 
""10 principles of securing any systems "" ",M
"As announced in the earlier post, we’re kicking off a new series entitled “TechLive”. Our first venture in this project will be a three episode “Hands on Securi… See more",M
