status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
আর্শিয়া ঘুম থেকে উঠেই চলে আসছে ছবি তুলতে ,F
আমার বিগত জন্মদিন সমূহ ,F
,F
"Family time is the best time for me.  Together, we can conquer anything. This is where life begins and love never ends. 
Keep the real ones close to you. ",F
"Azaan & Ayash 
MaShaAllah 
Keep them in your prayers...... ",F
"শুক্রবার সমাচার 
 আলহামদুলিল্লাহ 
Sadat Sadman Ratul vai thanks for the treat.",F
"Now we have two teeth to bite 
 Alhamdulillah 
Allah Humma Bariklahu 
#baby_azaan #azaan_shahzaib #mashja #MASHALLAH_SUBHANALLAH",F
"Let's learn how to walk and fall 
#MashaAllah #MASHALLAH_SUBHANALLAH 
#azaan_shahzaib #baby_azaan #baby #mashja #parenting",F
উত্তরাতে কি হালকা ভূমিকম্প হইলো? নাকি পুরা দেশে ই? ,F
জন্মদিনের শুভেচ্ছা নেন আজানের খালামনি নুসরাত জাহান জেবিন,F
আযান তার দুই ছোট্ট খালামনির সাথে ঘুরতে গিয়েছে। ,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
মূল্য দিবে কি কেউ?,F
"মশা নিয়ন্ত্রণে কার্যকরী সমাধান নিয়ে এলো এক যুবক 
#MosquitoProblem #Dengue #Channel24",F
Happy Birthday to me ,F
আব্বু আম্মুর কক্সবাজার ভ্রমণ ,F
না মানে এক সময় অনেক চিকন আছিলাম ,F
Memories ,F
"আমার হাত অনেক্ষন ধরে কি বোর্ডে ঘুরাঘুরি করতেছে। কিছু একটা নিয়ে লিখতে চায়, কিন্তু কি নিয়ে লিখবে সেটা ভাবতে ভাবতেই আধা ঘন্টা চলে গেলো। ",F
সারাদিন কে একবার হলেও আপনার খোজ নেয়?,F
"কালকেই জামাইকে বলতেছিলাম আজ আছি কাল না ও থাকতে পারি। মৃত্যু কখন এসে দরজায় কড়া নাড়ে বলা যায় না। তাই যা করার এখন মানে এখন ই সময়। কাল থাকবো নাকি থাকবো না বলা যায় না। 
এই যে এত ছোট বয়সে প্রাণ গুলো চলে যাচ্ছে। হোক তা এক্সডেন্ট, সুইসাইড, হার্ট অ্যাটাক বা স্বাভাবিক মৃত্যু। কেউ কি ভেবেছিলো?? মাত্র এক বছরের জুনিয়র ছেলেটা। হার্ট অ্যাটাকে চলে গেলো না ফেরার দেশে। ",F
"মনে হচ্ছে আমাদের বিল্ডিং এর উপরই সব বজ্রপাত হচ্ছে। 
 আযান উঠে গেলো ঘুম থেকে।",F
"- বাংলাদেশ ঘোরাঘুরিতে আপনার স্কোর কতো..?? 
২৫ পেলেই পাশ। 
- আমি ৫৮ পে‌য়ে পাশ ক‌রে‌ছি..।। 
দেখে নিতে পারেন নিচের পয়েন্ট  লিস্ট থেকে...!!
১… See more",F
"Mashpy Rahman  দেখতো চিনতে পারিস কিনা?  
কে কে আছে এখানে?
আমাদের দাদা ভাই 
আল্লাহ দাদা ভাইকে জান্নাত দান করুন, আমিন।",F
"Jee Le Zaraa
10 years........
SANAM: 
(Sanam Puri - Vocals) (Samar Puri - Guitars) (Venky S - Bass) (Keshav Dhanraj - Cajon)
Original Song Credits:… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
