status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
গত ১৯ জুন আমাদের একমাত্র সন্তান নেপথ্য নিবর্তক এর প্রথম  জন্মদিন উদযাপনের কিছু মুহূর্ত। সবাই ওর জন্য দোয়া করবেন।,M
"আজ আমাদের জীবনের খুবই স্পেশাল একটি দিন। আজ আমাদের চাঁদের কণা বাচ্চাটার প্রথম জন্মদিন। চোখের পলকে ১ টি বছর পার করে ফেললো ও। ওর কারণে আমাদের জীবন নতুন অর্থ খুঁজে পেয়েছে।
শুভ জন্মদিন নেপথ্য নিবর্তক।
সবাই আমাদের চাঁদের কণাটার জন্য দোয়া রাখবেন, ও যেনো মানুষের মতো মানুষ হয়ে উঠতে পারে।",M
"জামায় ফলস কাপড় লাগানোর জন্য জাম কালারের সুতি কাপড় আনতে বলেছিলো বউ। মনে মনে ভাবলাম, জাম কালার! এটা আবার কোন্ কালার! মেয়েদের অভিধানে কতো শত কালার! বাপরে বাপ! 
এদিক দিয়ে ছেলেদের কোনো যন্ত্রণা নেই। আমাদের ছেলেদের অভিধানে সর্বসাকুল্যে কালার হচ্ছে ছয়টা: সাদা, কালো, লাল, নীল, সবুজ আর হলুদ। এর বাইরে আর কোনো রঙ ছেলেরা চেনে না।
অন্যদিকে আমি শুনেছি, মেয়েদের কাছে নাকি শুধু লালই আছে বত্রিশ রকমের। এছাড়া আসেপাশে যতো বস্তু কিংবা খাবার আছে, সবার নামেই কালার আছে মেয়েদের ভাণ্ডারে। এই যেমন গত … See more",M
"ইনবক্সে নক করে এক জুনিয়র বললো, ভাইইইইই, আপনাকে আজ সন্ধ্যায় পার্কের এক চিপায় দেখলাম। লুকিয়ে ছবি তুলে রেখেছি ভাই। এখন এই ছবি ভাবীকে পাঠিয়ে দিবো।
বাঁচতে চাইলে কোথায় খাওয়াবেন দ্রুত জানান।
আমি বললাম, তোমার আর কষ্ট করে ভাবীকে ছবি পাঠাতে হবেনা। আমিই পোস্ট করে তোমার ভাবীকে জানিয়ে দিচ্ছি। ",M
"আজ দুপুরে মোবাইলে একটা কল এলো, নাম উঠলো 'ইসতিয়াক মাদারী'।
হঠাৎ করে একটু কনফিউজড হয়ে গেলাম। কে এই লোক? কেনোইবা তার নামের সাথে গালি সংযুক্ত করে নাম্বার সেভ করলাম? নিশ্চয়ই আমার সাথে চরম মাত্রার কোনো ফাতরামি হয়তো করেছে কোনো একসময়। 
কিন্তু না, মনে করতে পারলাম না কিছুতেই। কলটা রিসিভ না করেই ফোনটা রেখে দিলাম।… See more",M
