status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
সত্য সত্য ,M
"লজ্জা-শরমের মাথা খেয়ে বলছি—
এইসব পোস্ট-ফোস্ট দিতে মোটেও ভালো লাগে না, 
আপনারা-ই বলেন, নিজের কথা নিজে কতদিন, কতবার এভাবে বলা যায়? … See more",M
"বিগ আপডেট 
ফেসবুক ফ্রেন্ডলিস্টে যারা আনঅ্যাক্টিভ আপনাকে লাইক কমেন্ট কিছুই করেনা.!
আপনি চাইলে এখন থেকে তাদেরকে আনফ্রেন্ড করে দিতে পারবেন, অ্যান্ড সেটা ফেসবুক নিজে থেকে অফিশিয়ালি সিস্টেম বাহির করছে...!… See more",M
"নিজেকে ভালো না বাসলে,অন্যকেও ভালোবাসা যায় না! নিজের যত্ন নিন। ভালো থাকুন। ভালো রাখুন।",M
"ওরে নিয়ম, ওরে নিয়ম - ২ ",M
"প্রিয় বইপ্রেমী, 
যে লেখককে আপনি চেনেন না, জানেন না এবং যেসব লেখকের বই আপনি পড়েননি তাদের বই সংগ্রহ করার সময় আপনি বইয়ের নাম দেখে বইটা সংগ্রহ করবেন না। 
বইয়ের চকচকে প্রচ্ছদ কিংবা লেখকের নাম ও লেখকের চেহারা দেখেও বইটা সংগ্রহ করবেন না। … See more",M
অফারটা আপনিও নিতে পারেন,M
ওরে নিয়ম ওরে নিয়ম,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"যারা আমার পোষ্টে কখনো কমেন্ট করেননি, করে না তাদেরকে অটো রিমুভ করে দিছি 
পরিচিত কেউ রিমুভ হয়ে গেলে আবার রিকুয়েস্ট দিয়েন 
c&p",M
"হাতে বই পড়ার সময় না থাকলে বই নিয়ে এই আলোচনাটা পড়তে পারেন, এই লেখাটা অবশ্যই আপনার ভালো লাগবে... গ্যারান্টি দিচ্ছি",M
"""প্রথমে দর্শনদারী, তারপর গুণবিচারী"" 
দর্শনদারীর মধ্যে নামকরণ, প্রচ্ছদ, মলাট, ফ্ল্যাপ ইত্যাদির পরপরই আসে বইটা ছুঁয়ে তাকে বোধ করা৷ ভাললাগা এবং পড়ার আগ্রহ তৈরী হও… See more",M
Sawon ,M
"এসব খবর ও চিত্র দেখলে এখন মনখারাপ হয় না, দিন-দিন অসুস্থ হয়ে যাচ্ছি মনে হয়",M
"নিয়ম থাকা ভালো,
নিয়ম মানা ভালো
কিন্তু অতিনিয়ম ভালো নয়!… See more",M
"বইয়ের পাঠক না হলে, বই বিক্রি না হলে লেখকের পকেটে পয়সা আসে না, এটা কবে বুঝবে মানুষ? ",M
"বইয়ের দোকান বলতে এখন স্কুল-কলেজের গাইড বইয়ের দোকান। 
পাঠক নেই, আছে ক্রেতা। 
তবু লেখক লেখে, বই বের করে, স্বপ্ন দেখে, কারণ, স্বপ্ন দেখতে ভুলে গেলে লেখক মরে যায়। … See more",M
"❝লেখার মধ্য দিয়ে আমি আমার সব সীমাবদ্ধাকে দূরে সরিয়ে দিই; লেখার মধ্য দিয়ে-ই সমাজে, রাষ্ট্রে আমার আত্মপরিচয় প্রতিষ্ঠিত হয়।❞ 
মাবি/
২৯ মে, ২০২০ খ্রিঃ",M
,M
