status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"আসসালামু আলাইকুম, 
নিচের ছবিটা ফটো ল্যাবের কারসাজি। আমরা মনে মনে অনেক সময় এরকমটাই চাই। অমুকে আমার চেয়ে ভালো আছে, আর তার জায়গায় যদি আমি থাকতে পারতাম!
এই অলিক ভাবনা গুলো আমাদের যেমন পীড়া দেয়, তেমনি এই ফটো ল্যাবে নিজেকে সুন্দর করে দেখাও আমার কাছে বরাবরই বেমানান মনে হয়। 
অতিরিক্ত সৌন্দর্য সবসময় কল্যাণ বয়ে আনেনা। মানুষের উচিত তার চরিত্র আর মনটাকে সুন্দর রাখার চেষ্টা করা। একটি সুন্দর মানুষের সংস্পর্শে আসলে অন্য মানুষটির সৌন্দর্য বৃদ্ধি পায় না, অথচ একটি সুন্দর মনের মানুষের প… See more",F
"#facebookvlogvideo #facebookreels #FacebookPage #delhi #Parliament #ugrasankibhauli #indiagatedelhi.. #vlog 
#facebookvideo #followers",F
"ভিডিওটির শেষে একটি ছবি রয়েছে আশা করি দেখে নেবেন। আপনারা কোন মিল খুঁজে পেলে কমেন্ট সেকশনে লিখতে পারেন।
#delhi #tour #MahatmaGandhi #memorial #IndiraGandhi #facebookreels #facebookvlogvideo #facebookvideo #FacebookPage #first #vlog日常",F
"#delhi #first #tour #humayuntomb #ishakhatomb  #humayuntombdelhi 
#FacebookPage #facebookpost 
#facebookvideo #followers 
#facebookvlogvideo #vlog日常",F
"#delhi #first tour #lotustemple 
#lotustempledelhi 
#facebookvlog #facebookpost 
#facebookvideo #followers  #facebookvlogvideo 
#vlog日常 4",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"একাকী থাকা বেদনাদায়ক হলেও
এর বীভৎস এক আনন্দ আছে, 
যেখানে কেউ চাইলেও 
আর কষ্ট দিতে পারবে না তোমাকে। 
..............................................মুনিরা মাহমুদ।",F
"Assalamualikum Everyone... 
#secondvlog #plid problem #vlog #vlogvideo #ManipalHospital.#Delhi #india #facebookvideo #facebookvlog",F
"#loveletter #firstever #2003年 
#letter #letterday",F
"Assalamualikum Everyone..
#firstvlog2023 #firstvlogvideo 
#DelhiAirport #delhitour #vlogvideo #facebookvlogs #facebookvideo",F
"""তুমি আমার রহস্য উৎঘাটন করতে এসো না, 
 নিজেই রহস্যের জালে আটকা পড়বে... ""
............................মুনিরা মাহমুদ।..........................",F
#khamoshiyan #facebookreels #facebookvideo #facebookpost,F
#love  #rain #facebookreels #instragramreels #বৃষ্টি #ভালবাসি,F
"#নারী #কিসে #আটকায়?
আচ্ছা নারীও তো মানুষ, নারীকে কেন আটকে রাখতে হবে? নিজে যদি আটকে থাকতে না জানেন, না পারেন,তাহলে নারীকেই কেন আটকাতে হবে?
তবুও নারীরা আটকায়, কিসে জানেন? 
একটা পুরুষের কথায়, মায়ায়, যত্নে আর একটু আদরে। … See more",F
আজকেরটা হয়তো সত্যিই হয়েছে,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
