status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"আসসালামু আলাইকুম, 
নিচের ছবিটা ফটো ল্যাবের কারসাজি। আমরা মনে মনে অনেক সময় এরকমটাই চাই। অমুকে আমার চেয়ে ভালো আছে, আর তার জায়গায় যদি আমি থাকতে পারতাম!
এই অলিক ভাবনা গুলো আমাদের যেমন পীড়া দেয়, তেমনি এই ফটো ল্যাবে নিজেকে সুন্দর করে দেখাও আমার কাছে বরাবরই বেমানান মনে হয়। 
অতিরিক্ত সৌন্দর্য সবসময় কল্যাণ বয়ে আনেনা। মানুষের উচিত তার চরিত্র আর মনটাকে সুন্দর রাখার চেষ্টা করা। একটি সুন্দর মানুষের সংস্পর্শে আসলে অন্য মানুষটির সৌন্দর্য বৃদ্ধি পায় না, অথচ একটি সুন্দর মনের মানুষের প… See more",F
"#facebookvlogvideo #facebookreels #FacebookPage #delhi #Parliament #ugrasankibhauli #indiagatedelhi.. #vlog 
#facebookvideo #followers",F
"ভিডিওটির শেষে একটি ছবি রয়েছে আশা করি দেখে নেবেন। আপনারা কোন মিল খুঁজে পেলে কমেন্ট সেকশনে লিখতে পারেন।
#delhi #tour #MahatmaGandhi #memorial #IndiraGandhi #facebookreels #facebookvlogvideo #facebookvideo #FacebookPage #first #vlog日常",F
"#delhi #first #tour #humayuntomb #ishakhatomb  #humayuntombdelhi 
#FacebookPage #facebookpost 
#facebookvideo #followers 
#facebookvlogvideo #vlog日常",F
"#delhi #first tour #lotustemple 
#lotustempledelhi 
#facebookvlog #facebookpost 
#facebookvideo #followers  #facebookvlogvideo 
#vlog日常 4",F
"Zazzak Allahu Khairan..  & Thanks a lot  to all my lovely friends who have been wished me warmly on my birthday  & also who have been not . I was so much upset yesterday, Thats why sorry for the delay. But this birthday  is very  special  for me coz  whom I  
 most,  they all have wished  me....
(আলিনার হঠাৎ আগমনে দিনটি আরো সুন্দর হয়েছিল। আলিনা হ্যাপি বার্থডে মিতু আপু বলেছিল, সেটা রেকর্ড করা হয়নি, পরে আর একবার বলাতে সে লজ্জায় লাল হয়ে গেছিল)",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"জীবনের সবকিছুতেই অনিশ্চয়তা রয়েছে। এই যে সুন্দর করে শ্বাস নিচ্ছি একটু পর সে টুকে নিতে পারব কিনা তা আমরা কেউ জানি না। যে কোন মানুষের কষ্ট দেখলে প্রচন্ড কষ্ট লাগে। হোক না তার সাথে আমার কোনদিন দেখা হয়নি তবুও। গতকাল কৃষি মার্কেটে প্রায় দু'ঘণ্টার মতো ছিলাম। যে জায়গাটা দিয়ে হেঁটেছি, কাপড়গুলো ধরেছি বা চোখ দিয়ে যাই দেখেছি আজকে সকালে ঘুম ভাঙ্গার পরেই শুনলাম সবকিছু ছাই হয়ে গিয়েছে। আমার যে কোন কিছু নষ্ট হতে দেখলেও কষ্ট লাগে। এত হাজার মানুষের আহাজারি। আল্লাহতালা যে ব্যবসাটাকে হা… See more",F
