status,author
,F
,F
,F
"গোলাপ নিয়া তাহার সাথে দেখা করতে গেলাম আমরা সবাই! দেখা হলো, ডিনার হলো,
বলছি মাহফুজা খানম 
আপার নাতীর কথা। 
খুব ভদ্র লোক।",F
Yes,F
"সকাল শুরু হয়েছে 
কাকের হৃদ্যতায়!
মনের মানুষ
এমনি থাকুক বৃদ্ধতায়।",F
"শুভ জন্মদিন আমার প্রিয়ভাবি।
আরও শতবছর নেক হায়াত নিয়া বেঁচে থাকুন।
অনাগত দিনগুলো নিরাপদে থাকুন 
ভালো থাকুন 
সবসময় সেই দোয়া করি।",F
এতবার শুনলাম তবুও.......,F
নোয়াখালী-বরিশালের ভাষায় কমেডি করে প্রধানমন্ত্রী শেখ হাসিনা ও তার বোন শেখ রেহানাকে হাসালেন অভিনেতা মীর সাব্বির ও তারিন,F
"তবুও গুরু
নাসরিন জাহান।
****★******
শিক্ষকদের শিক্ষক সূলভ আচরন। 
বড়ই প্রয়োজন।… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
স্মৃতি!,F
আজকে সাবক্লাস্টা প্রশিক্ষণে সহায়ক ছিলাম,F
"আজএক কালের স্বাক্ষী হয়ে সকালে
আমার সাথে ছিলে।
চিরকাল এভাবে থেকেছো আমার পাশে। আমাদের জন্য দোয়া চাই।",F
"অসম্ভব প্রাপ্তির একটি দিন ছিলো। 
বিদ্যালয়ের সার্বিক 
এবং শ্রেণির কার্যক্রম দেখে সন্তুষ্টি প্রকাশ করায় আমরা ভীষণ আনন্দিত,
কৃতজ্ঞতা প্রকাশ করছি।উপপরিচালক মহোদয়, জনাব নিলুফার ইয়াসমিন,জেলা প্রাথমিক শিক্ষা অফিসার মহোদয় জনাব মোহন লাল দাস।সহ-জেলা প্রাথমিক শিক্ষা অফিসার মহোদয়, মো. মোস্তফা কামাল।বরিশাল বিভাগীয় শিক্ষা অফিসার (এডিপিইও) মহোদয় মো. জামাল উদ্দিন খান।,উপজেলা শিক্ষা অফিসার  মহোদয় জনাব ফয়সল জামিল।সহ-উপজেলা শিক্ষা অফিসার উম্মে হাবিবা উর্মি মহোদয়ের প্রতি। উপ-পরিচালক মহোদয় আমাদের… See more",F
"আজকে তাহার জন্মদিন।
নানপাখি তাঁকে ঘিরে রেখেছে।
আমার জীবনে দেখা সবচেয়ে ভালো মানুষ। 
জীবনের শেষ নিশ্বাস পর্যন্ত তোমাকে চাই।
সুস্থ থাক, ভালো থাক, নেক হায়াত পাও।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"Simple party makeup by Sumaya Binta Salam
আমার কাছে মেকাপ নেয়ার আগে কোন একজন আর্টিস্ট  তাকে অদ্ভুত ভাবে সাজিয়ে দিয়েছিলো তাই পুরো সময় জুড়েই সে ভয়ে ভয়ে ছিলো।পুর… See more",F
"মহতী উদ্যোগ এর প্রত্যয়ে
 আজ বাংলাদেশ প্রাথমিক 
 শিক্ষক সমিতি বরিশাল মহানগর ও জেলার 
 একদল চৌকস নেতৃবৃন্দ 
 আলোচনা শেষে … See more",F
পাঁচ বছর আগের স্মৃতি!,F
"আল্লাহুম্মা বারিক লাহা 
আমার অনেকগুলো
চুলব্যান্ড আছে 
কিন্তু চুল নাই!!!!!!!",F
"মানুষের ক্ষতি করার চেস্টা করবেন না।
আল্লাহ আপনার ক্ষতি করে দিতে পারেন।এ কথা না মানলে
আল্লাহ নীরবে আপনার 
ক্ষতি করে দিবে। আপনার কাছে অবশিস্ট থাকবে আকুতি,তাই নিয়ে বাকী জীবন কাটাবেন।
আল্লাহ সবাইকে হেপাজত করুন। আমীন।।।",F
