status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"আলহামদুলিল্লাহ,আমাদের সম্মানিত কাস্টমার গিয়াস উদ্দিন ভাই স্যামসাং ওয়াশিং মেশিন কিনে গিফট প্যাক পেয়ে গেলেন
 স্যামসাং ওয়াশিং মেশিন কিনলেই পাবেন Big monsoon Fest এর গিফট প্যাক যাতে রয়েছে ৫০০ গ্রাম এর ৪ বোতল  Liquid ডিটারজেন্ট  
তাই দেরি কেনো
আজই চলে আসুন বাটারফ্লাই শোরুম -
১৫৬,ইয়াকুব সাউথ সেন্টার, কলাবাগান, ধানমন্ডি, ঢাকা।অথবা কল দিতে পারেন-
মোবাইল -01864646527",F
"আলহামদুলিল্লাহ, eco+ Double door ২ পিস ফ্রিজ সেল করলাম
এখন ইচ্ছে হলেই হবে স্বপ্নপূরণ
হাউজ অব বাটারফ্লাই এ চলছে ""ইচ্ছে মেলুক ডানা""অফার
সুলভ নগদে, কিস্তির স্বস্তিতে, ব্যাংক EMI এবং মোবাইল ব্যাংকিং এর সুবিধায় আছে সকল পণ্য কেনার সুযোগ।Double Door ফ্রিজ কিনতে চান? তাহলে আজই চলে আসুন 
বাটারফ্লাই শোরুম 
১৫৬,ইয়াকুব সাউথ সেন্টার, কলাবাগান, ধানমন্ডি, ঢাকা।অথবা কল দিতে পারেন-
মোবাইল -01864646527",F
,F
"ধন্যবাদ LG টিমকে,টিভি নিয়ে সুন্দর একটি আয়োজন করার জন্য 
 সবাইকে উপহার সরুপ LG Nanosell টিভি সেল করলাম 
এরকম আয়োজন বারবার চাই ",F
"আলহামদুলিল্লাহ, ০৬০৮ এর বন্ধু Md Wadud এর  কাছে Haier brand এর ওয়াশিং মেশিন বিক্রি করলাম
০৬০৮-বন্ধুত্বের জয় হোক
তোমাদের যেকোন প্রয়োজনে আজই চলে আসো বাটারফ্লাই শোরুম, কলাবাগান শাখায়,অথবা আমাকে কল করতে পারো। সারা দেশের যেকোনো জায়গায় ডেলিভারি দেওয়া যাবে। নগদ ক্যাশ,ব্যাংক EMI, এছাড়াও থাকছে সহজ কিস্তুি সুবিধা। 
  প্রয়োজনে যোগাযোগ : নিলুফা ইয়াসমিন … See more",F
,F
"আলহামদুলিল্লাহ,ফারাবি রহমান আপুর কাছে একটা LG ফ্রিজ সেল করলাম
এই পেইজের মাধ্যমেই আপুর সাথে আমার পরিচয়
লালবাগ থেকে কলাবাগান শোরুমে  এসেছেন তাই  আপুকে ধন্যবাদ জান… See more",F
"আলহামদুলিল্লাহ,বাল্যবন্ধু আকরামের সাথে ২২ বছর পর দেখা
সময়টা যেন এক মুহূর্তের জন্য থমকে গিয়েছিল 
বন্ধু তার বাসার জন্য ২ পিস গিজার নিয়ে গেলো
পারিপার্শ্বিক অবস্থা এবং ব্যস্ততার জন্য অনেকের সাথে কথা এবং দেখা হয়না বহুবছর 
সবাইকে অনেক মিস করি 
এখন থেকে চেষ্টা করবো যোগাযোগ রাখার 
তোমরাও কল দিতে পারো-01864646527",F
"Wide range of globally acclaimed Hitachi Refrigerators is now available at the House of Butterfly. 
Click here to learn more: https://www.butterflygroupbd.com/… See more",F
"আপনার সীমাহীন সাধ খুব সহজেই মেটাতে হিটাচি ব্র
‍
্যান্ডের সুপ্রশস্ত রেফ্রিজারেটর রেঞ্জ এখন সুলভ নগদে, কিস্তিতে স্বস্তি, ব্যাংক EMI এবং মোবাইল ব্যাংকিং এর সুবিধায়। … See more",F
