status,author
,F
,F
,F
,F
,F
"Alhamdulillah, we successfully organize International Conference on Machine Intelligence and Emerging Technology 2022 (MIET-2022) at Noakhali Science and Technology University. According to our knowledge, we are the first science & Technology university where all accepted and registered papers will be published in Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (LNICST) Series (https://www.springer.com/series/8197) o… See more",F
"ভয়েস ওভার নিয়ে কাজ করার ইচ্ছে আমার অনেক দিনের। কিন্তু সময়, সুযোগের অভাবে ইচ্ছেটা এতদিন পূরণ হয়ে উঠেনি। 
অবশেষে সুযোগ পেয়ে গেলাম। সুযোগটা নেহাৎ ছোটখাটো ছিল না। ফ্যাকাল্টির অধীনে বানানো ডকুমেন্টেশন এর স্ক্রিপ্ট লেখা এবং কণ্ঠ দেওয়া রীতিমত একটা দারুণ শেখার জার্নি। অনেক ভুল হয়েছে, শুধরেছি। এক্সামের মধ্যেই বড় ভাইয়াদের বিরক্ত করেছি। তাও কিছু ভুল হয়তো রয়ে গেছে।
শ্রদ্ধেয় Sharmin Akter Milu ম্যামকে অসংখ্য ধন্যবাদ এবং কৃতজ্ঞতা, কাজটির জন্য আমাকে যোগ্য মনে করার জন্য।",F
"চিত্রকল্প - নোবিপ্রবি এর খুব সুন্দর একটা উদ্দ্যোগ। আমার ব্যাচমেট এবং সিনিয়রদের থেকে ভার্সিটি থেকে বের হওয়ার এতোদিন পরও তাদের স্মৃতিগুলো, ক্যাম্পাস নিয়ে তাদের আবেগ গুলো শুনতে চাই খুব। জাস্ট ২/৩ মিনিটের একটা ভিডিও করতে তেমন বেশি সময় লাগবে না ট্রাস্ট মি (একটু না হয় ইফোর্ট দিলেন)
আর একটা কথা না বললেই না, সেটা হলো অনেকেই ভিডিও করতে লজ্জা পায়,বাট এখানে সত্যিই লজ্জার কিছু নেই। নিজের ক্যাম্পাস নিয়ে দুটা কথা বলতে লজ্জার কি বলেন তো!! 
আমার সিনিয়রদের কাছে রিকোয়েস্ট থাকবে তাদের কথা গুলা … See more",F
"প্রাক্তন কি শুধু মাত্র প্রেমেই হয়? 
ভালোবাসার এ ১০১ একর ছেড়ে যারা চলে গিয়েছেন, হয়েছেন সাবেক, তারাও তো আমাদের জন্য ভালোবাসার প্রাক্তন।
আমরা শুনতে চাই তাদের, তাদের… See more",F
"Sharmin Akter Milu 
আমি আমার  বোনের ব্যাপারে সব সময় বিশ্বাস রাখতাম।  পরিশ্রম আর মেধার কি সুন্দর কম্বিনেশান সে।  ব্যাচেলরে প্রথম,  মাস্টার্সে প্রথম,  প্রথম সরকারী চাকরী পরীক্ষায় বাংলাদেশ  ব্যাংক কর্মকর্তা আর সবশেষে তার ড্রিম জব  নিজ বিশ্ববিদ্যালয়ের শিক্ষক।  
আল্লাহ তাকে আরো সফলতা দান করুক।  আল্লাহ যোগ্য ব্যক্তিকে কখনো ঠেকিয়ে রাখেন না। মানুষ যাকে বঞ্চিত করে আল্লাহ তাকে সম্মানিত করেন আরো উচ্চতর জায়গায় অধিষ্ঠিত করেন৷ … See more",F
