status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"এই হল বর্তমান মেট্রোরেল এর অবস্থা!
কিছুদিন পর  কলিকাতা হারবাল বিজ্ঞাপন ও দেখতে পাবেন ",F
"নতুন শিক্ষা ব্যাবস্থা সম্পর্কে আপনার মতামত কি?
আপনি কি সত্যি মনে করেন এই নতুন কারিকুলাম পদ্ধতি আমাদের কোমলমতি বাচ্চাদের জন্য পজেটিভ?",F
"শিক্ষায় নতুন কারিকুলাম নিয়ে অভিভাবকদের অসন্তোষ 
#bdcnews #বিডিসিনিউজ Vikarunnesa Noon School & College Friends অভিভাবক ঐক্য ফোরাম (বনানী বিদ্যানিকেতন স্কুল/ ক… See more",F
"ছাদ বাগানে থাকা মিস্টি আলু পাতা,কচি লেবু পাতা,পুদিনা পাতা,ধনে পাতা,মরিচ দিয়ে রান্না করলাম লইটা শুটকি মাছ।
এমন করে কে কে শাক পাতা দিয়ে শুটকি রান্না করেন??
বিশ্বাস করুন! এত্ত মজা হয়েছে। মাশ আল্লাহ!
So beautiful so elegant just looking like a wow!",F
শুভ অপরাহ্ন ,F
"good morning
Happy friday",F
দেখ বাংগালী দেখ,F
"১৯৭১ সা‌লের যুবকরা কত স্মার্ট ছি‌লো । 
হে তরুন সমাজ , ১৯৭১ সা‌লে তোমা‌দের বয়সে , এদেশের তরুণরা কি ছিল দেখে নাও... 
কি স্মার্ট,  কি দারুণ ইংরেজিতে কথা বলে...… See more",F
"দেইক্ষ্যা লাইসি!!!
কইয়া দিমু",F
"তাবিজ শিরক। বাচ্চাদের কপালে টিপ দেওয়া, সুতা বাঁধা ইত্যাদি শিরক। (আহমাদ, ১৬৭৬৩) (আহমাদ,১৬৭৭১) (মিশকাত,৩৫১) (মিশকাত,৪৫৮৪) 
শিরক সবচেয়ে বড় পাপ। (সূরা লোকমান, ১৩)
হাশরের মাঠে সব পাপ ক্ষমা হতে পারে, শিরক ব্যাতীত। (মিশকাত, ২৩৩৬) (সূরা নিসা, ১১৬)",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"বড় আপু,ছোট বেলায় পায়ের পাতায় নিয়ে এই ছড়াটা বলত! 
অনেক ছোট ছিলাম! কিন্তু খেলার ছলে ছড়াটা আবছা ভাসে।
তাই আমার ও মনে নেই। এই ছড়ার লাইন গুলো খুব দরকার।
আপু বলত: "" বুড়ি গো, বুড়ি দা খান কই?
দাখান দিয়া করবা কি?… See more",F
#viralvideo #reelsfb #Tiktok #facebookreels #reelsvideo,F
"১০০%
অন্যের অধিনত্বে ছোট হয়ে থাকার চেয়ে, নিজ প্রচেস্টায় ভালো থাকা অনেক উত্তম।",F
"কিছু বলার আছে
???",F
friends get-together #viralvideo #Tiktok #friendship #reelsvideo,F
"যে দেশে নকল করে ধরা পরা ছাত্র,শিক্ষকের গায়ে হাত তুলে,
যে পরিবারে বয়স্ক বাবার গায়ে সন্তান হাত উঠায়,
যে দেশে পর্দা করা বোনকে রেপ করা হয়,
যে দেশে বাবা মায়ের জন্য শেষ জীবনের আশ্রয় বৃদ্ধাশ্রম
যে দেশে খেলা কে কেন্দ্র করে ও চলে নোংরা পলিটিক্স।… See more",F
অপশন যখন মাথা খায়,F
KBC- Kaun Sa Option Sahi Hai,F
"""আমি ভীষণ আড়াল প্রিয়, কল্পনাতে বেঁচে রই।
ইচ্ছে হলেই আকাশ ছোঁব, এমন আমার সাধ্য কই""।",F
মেও মেও মেও,F
ভালো বুদ্ধি,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
