status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"“Don't make yourself small.
Not for anyone.
If someone tells you 
you're too much...
too loud, too sensitive, … See more",F
দুনিয়া তো একটা পরীক্ষার হল ই। পরীক্ষায় যুত করতে না পেরে দিস্তার পর দিস্তা কাগজ হাবিজাবি লিখে নষ্ট করতে চাই না। কোনমতে পাশ মার্ক তুলে খাতা জমা দিয়ে দিতে চাই হে মহান পরীক্ষক। হলের পরিবেশ আমার মোটেই ভাল্লাগছে না।,F
,F
"হুট করেই বিয়ে টা হয়ে গেল, হুট করেই বিউটি পেজেন্ট উইনার হলে গেলাম, হুট করেই গাড়িটা / বাড়িটা কিনে ফেললাম,হুট করেই মা/বাবা হয়ে গেলাম, হুট করেই স্কলারশিপ পেয়ে গেলাম, হুট করেই ব্যবসায় লাভ করে ফেললাম,হুট করেই চাকরি  হয়ে গেল, হুট করে.... হুট করে.....হুট করে!!!! এই যে হুট করে যাদের সব হয়ে যায় তারা কারা? আমার তো হুট করে কিছুই হয় না ভাই ,বড় বড় এচিভমেন্ট দূরে থাক হুট করে গালের একটা ব্রণ ও ভালো হয় না। কিছু পেতে চাইলে কঠিন তপস্যা করে, পাথর কেটে পানি করে, এভারেস্ট ৩৬বার জয় করে তারপর যা কিছ… See more",F
"May we never again take the small things for granted;
The handshake from a long-lost friend;
The tight hugs from loved ones;
The weekend spent over the grandpa… See more",F
"""বনিবনা"" শব্দটা ভীষণ ভারী একটা শব্দ নি:সন্দেহে! তালাকের নোটিশে এক বাক্যে লিখেছিলেন ""বিয়ের পর থেকে আমাদের মধ্যে বনিবনা হচ্ছিল না আর সামনেও হবে না""! বাহ, কত স্পষ্ট আর নিরেট একটা স্টেটমেন্ট। সব হাসিখেলা, পাগলামি, ছোট্ট কিশোরী বধূর আবেগ, ৪ টা সন্তান হওয়ার স্মৃতি, একসাথে বিদেশবিভূয়ে তাঁর উচ্চশিক্ষার জীবনের সাথী হয়ে থাকা ঘরণীটার তার ল্যাব থেকে বাড়ি ফেরার অপেক্ষা!  সবকিছুই তাহলে বনিবনার উর্ধ্বে?  
কেন স্পষ্ট করে কিছু মানুষ লিখতে পারে না, "" নতুন কারো আগমন ঘটেছে, সে মুছে দিয়েছে যাবতী… See more",F
,F
"এইতো হেথায় কুঞ্জ ছায়ায় ,
     স্বপ্ন মধুর মোহে,
এই জীবনে যেক'টি দিন পাবো
তোমায় আমায় হেসে-খেলে,
      কাটিয়ে যাবো দোঁহে… See more",F
"আগে গ্রাম বাংলায় বিচার ব্যবস্থার অন্যতম উপায় ছিল শালিস। ""দোররা ""সেখানে খুব পরিচিত একটা পন্থা ছিল বিচারের, গ্রামের সব লোকের সামনে প্রমাণিত আসামিকে ৪০ ঘা চাবুকের আঘাত দেওয়া হতো। শারীরিক কষ্টের থেকে লোকসম্মুখে অপমানের কষ্টটাই যেন অধিক থাকে এই বিচারে। 
সমসাময়িক বাংলাদেশি কিছু ব্লগারদের একদম সপাটে ঠাস ঠাস করে দোররা মেরে ওদের এইসব নষ্টামি আর ভ্রষ্টামিগুলা ছুটায়ে ফেলা উচিত।  এরা প্রাইমারি পাস করতে পারে কি পারে না বাপ মায়েরে প্রেশার দিয়ে একটা ভালো ফোন কিনে, তারপর টিকটকার হয়,ভিডিও বা… See more",F
REAL!,F
এতোটাও না আবার!,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"went this beautiful state park to enjoy the sunset. 
Alhamdulillah  ",F
"নদী, তুমি কোন কথা কও?",F
