status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"ভ্রমণ, বিজনেস, চিকিৎসাসহ বিভিন্ন প্রয়োজনে বাংলাদেশী ভ্রমণকারীরা ভারতে ভ্রমণ করে থাকেন। 
ভারতের অভ্যন্তরীণ শহরগুলোতে কম খরচে আরামদায়ক ভ্রমণের একমাত্র মাধ্যম হল ট্রেন। 
যেমন বেশিরভাগ ক্ষেত্রে লক্ষ্য করা যায় বাংলাদেশ থেকে অনেকেই উল্লেখযোগ্য হারে কলকাতা হতে দিল্লী, আগ্রার বিখ্যাত তাজমহল, কাশ্মীর, আজমির শরীফ, ভেলোর, নিউ জলপাইগুড়ি, চেন্নাই, হায়দ্রাবাদ ইত্যাদি বিভিন্ন শহর ও রাজ্যে ভ্রমণ করে থাকেন। কিন্তু অধিকাংশ ক্ষেত্রেই যাত্রীগণ অগ্রিম ইন্ডিয়ার অভ্যন্তরীণ রেলওয়ে টিকিট না করার ক… See more",F
"আইভিএফ কি ?
১)সন্তানলাভের স্বপ্নপূরণ আইভিএফ-এ
২)আইভিএফ কথার অর্থ
৪)আইভিএফ চিকিৎসা … See more",F
"ভারতের মেডিক্যাল ভিসা আবেদন এর জন্যে আবশ্যক ডকুমেন্ট , ভারতের হসপিটালের #ভিসাইনভাইটেশন ও #অ্যাপয়েনমেন্টলেটার, সরকারী চাকরী জীবি দের ভারত ভ্রমনে প্রয়োজনীয় GO সংগ্রহের জন্যে ( মেডিক্যাল )  পারপাস ছুটির আবেদন করার জন্যে , ট্যুরিষ্ট ভিসার দীর্ঘসূত্রতা ( অ্যাপয়েনমেন্ট সহ (৭৫ দিন ) বিশেষ প্রয়োজনে মেডিক্যাল ভিসা  পেতে হোয়াটস অ্যাপ করুন।
 +918584948227",F
"এক দুই তিন করে 
আজ 
১৩০০ তম দিনে 
যাদবপুর জ্যোতিদেবী শ্রমজীবী ক্যান্টিন!
#JadavpurSramajibiCanteen... … See more",F
"মেডিক্যাল ভিসা ,ট্রিটমেন্ট সক্রান্ত সহায়তা ও তথ্যের জন্যে হোয়াটস অ্যাপ করুন।",F
"তোমাকেই বলছি......
প্রয়োজনে তোমায় ডোনার না দিতে পেরে আমি নিরুপায়;
অন্যের বিপদে তোমার এগিয়ে না আসা যার বড় অন্তরায়।
তাই রক্ত দিন, রক্তের পোস্টে সাহায্য করুন ও হাঁসি ফুঁটান",F
"আজ গুনীজন Parimal দার সাথে সাক্ষাত হলো।
সঙ্গে নিকটজন অণু আর আমাদের জেমস,রথী, শান্তদের ঘনিষ্ঠ বন্ধু প্রিয়া সেন।
কলেজ স্ট্রিট প্রায় ১৫ দিনের জন্যে দুর্গাপূজার ছুটিতে যাচ্ছে কারণে বেশ দৌড়ঝাঁপও গেলো আজ।",F
"ভারতের যেকোনো রাজ্য ও কলকাতা থেকে বাংলাদেশে ভ্রমণ করার ও বিজনেস পারপাস,বিজনেস ও টুরিস্ট ফ্যামিলী ভিসা, ট্যুরিস্ট ভিসা আর্জেন্ট প্রসেস হয়, ভারতীয় নাগরিকদের জন্যে।  We provide Bangladesh Business and Tourist/Family ( TF ) , Tourist Visa For Indian Citizens, in Five working days from any state of India . Contact 
918584948227 What's App.",F
