status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উপমহাদেশের গণসংস্কৃতি আন্দোলনের প্রবাদপ্রতিম শিল্পী হেমাঙ্গ বিশ্বাস।  
হেমাঙ্গ বিশ্বাস ১৯১২ সালের ১৪ ডিসেম্বর হবিগঞ্জ জেলার চুনারুঘাট উপজেলার মিরাশী ইউনিয়নের পশ্চিম মিরাশী গ্রামের জমিদার পরিবারে জš§গ্রহণ করেন। শৈশবে স্কুলে যাওয়ার পথে গান গেয়ে গেয়ে স্কুলে যেতেন, তবে প্রাতিষ্ঠানিকভাবে গান শেখা তার হয়নি। 
মুরারীচাঁদ কলেজে পড়ার সময় তিনি জড়িয়ে পড়েন স্বদেশি আন্দোলনে। সে কারণে তাকে কারাভোগ করা ছাড়াও বহিষ্কৃত হতে হয় কলেজ থেকে। ১৯৩২ সালে আবার তিনি গ্রেপ্তার হন। তখন তিনি ম… See more",F
"একজন মুক্তিযোদ্ধা কিভাবে যুদ্ধাপরাধীদের এদেশে রাজনীতি করার সুযোগ দেয়....! 
 যিনি মুক্তিযুদ্ধ করেন নাই তিনি কিভাবে মুক্তিযোদ্ধা হয়ে যায়....!  
দুটোই মহাঅন্যায়।  
এসব অন্যায় কাজ যারা করে তাদের নৈতিক অধিকার থাকে না অন্যকে বিচার করার। 
কিন্তু বাস্তবতা কি তাই বলে!",F
"তত্ত্বীয় পদার্থবিজ্ঞানী নোবেলজয়ী প্রফেসর আবদুস সালামের আজ ২৭তম মৃত্যুবার্ষিকী। তিনি ওমেগামাইনাস নামে একটি মৌলকণা আবিষ্কার করেন। তিনি প্রায় ৫০ বছরের নিরলস গবেষণার মাধ্যমে কণা পদার্থবিজ্ঞানের বিভিন্ন অংশে প্রতিভার স্বাক্ষর রাখেন।
আবদুস সালাম ১৯২৬ সালের ২৯ জানুয়ারি পাঞ্জাবের ঝাং শহরে জš§গ্রহণ করেন। তিনি ১৯৪২ সালে এফএ, ১৯৪৪ সালে বিএ এবং ১৯৪৬ সালে এমএ পরীক্ষায় কৃতিত্বের সঙ্গে উত্তীর্ণ হন। ১৯৪৭ সালে তিনি কেমব্রিজ বিশ্ববিদ্যালয়ে ভর্তি হন। সেখানে গণিত ও পদার্থবিজ্ঞানে প্রথম শ্… See more",F
"বাঙালি নারী প্রগতি আন্দোলনের অন্যতম পুরোধা, কবি, সমাজনেত্রী, ‘জননী সাহসিকা’ বেগম সুফিয়া কামালের ২৪তম মৃত্যুবার্ষিকী আজ।
 বেগম সুফিয়া কামাল ১৯১১ সালের ২০ জুন বরিশালের শায়েস্তাবাদে জš§গ্রহণ করেন। সে সময়ে বাঙালি মুসলিম নারীদের স্কুল-কলেজে পড়ার কোনো সুযোগ ছিল না। সেই বিরুদ্ধ পরিবেশে সুফিয়া কামাল প্রাতিষ্ঠানিক শিক্ষার সুযোগ পাননি। মায়ের উৎসাহে ও নিজ চেষ্টায় তিনি হয়ে ওঠেন স্বশিক্ষিত ও সুশিক্ষিত। বিয়ের পর স্বামী সৈয়দ নেহাল হোসেন তাকে সমাজসেবা ও সাহিত্যচর্চায় আগ্রহী করে … See more",F
"কিশোর গ্যং এখন ঢাকা ছাড়াও অনেক বিভাগ, জেলা শহরে ছড়িয়ে পড়েছে।  এদের নিবৃত করা কি খুব কঠিন। তাদের রক্ষা পাবার কোন উপায় কি নাই! এসব কিশোরদের ভবিষ্যত কি?",F
