status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
সুস্থ ভাবে বাঁচতে চাই #fbreels #viralreels #reelsvideo #viralvideo #ঢাকা,F
স্মৃতিময় কিছু দৃশ্য ,F
বসন্তপাড়া #fbreels #viralreels #reelsvideo #viralvideo #ঢাকা,F
লিটেল সেনাবাহিনীর দল সবাই সাবধান ,F
২০১৮ সালের কিছু ছবি  ,F
ভর্তা বাড়ী রেস্টুরেন্টে #fbreels #viralreels #reelsvideo #viralvideo #ঢাকা,F
"বনের ঘুঘুরা উহু-উহু করি কেঁদে মরে রাতদিন,
পাতায় পাতায় কেঁপে উঠে যেন তারি বেদনার বীণ",F
বসন্তপাড়া #fbreels #viralreels #reelsvideo #viralvideo #ঢাকা,F
বসন্তপাড়ায় ঘুরতে আসলাম,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
বন্ধু যখন ট্রিট দেয় #viralreels #reelsvideo #fbreels,F
কাঁশফুল,F
আমার আমি টাকে খুঁজি.......,F
এতো স্বাদ ক্যা,F
Swimming pool #viralreels #reelsvideo,F
Humans are so weak,F
"০৬০৮
 মেডিকেল টিমের পক্ষ থেকে আমার  জন্মদিন উপলক্ষে আড্ডা ও ট্রিট দিলো ডাক্তার বন্ধু সাইফুল ইসলাম ঈমন ভূঁইয়া এবং খালেক জামান। যারা আমার সাথে ছিল সকলকেই অসংখ্য ধন্যবাদ। আমার এই দিনটাকে হাসি খুশি রাখার জন্য এবং আমার বাবা মা কে ও জানাই মনের অন্তস্তল থেকে হাজার ও সালাম...........",F
Especially #viralreels #reelsvideo,F
অপরুপ সৃষ্টি #viralreels #water #reelsvideo,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
মিটিং চলচ্ছে....,F
নানি নাতনির ভাব...,F
 ট্রিট ,F
(০৬০৮) হলিডে আড্ডার আসর,F
পানি আর পানি# বাড়ি আর গাড়ি#,F
জীবন যেখানে যেমন #poorman #reelsvideo #viralvideo #fbreels #Bangladesh,F
এক পলকে ভালোবেসে ফেলেছি তোকে.....,F
পদ্মা সেতু,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"#রক্তে_বাচেঁ_প্রাণ #
#নামঃ রাবেয়া তুলি
#রক্তের গ্রুপঃ এ পজিটিভ 
#বাড়িঃ যশোর 
#পেশাঃ চাকরিজীবি… See more",F
আসুন আমরা সবাই  জিলহজ্জ মাসের এই তাকবীরটা পড়ি।,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
