status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
আমেরিকায় উচ্চশিক্ষা — পিএইচডিতে ভর্তির জন্য কী করে আপনার প্রোফাইলকে আকর্ষণীয় করে তুলবেন?   (Click below for the full video),M
আমেরিকায় উচ্চশিক্ষা — পিএইচডিতে ভর্তির জন্য কী করে আপনার প্রোফাইলকে আকর্ষণীয় করে তুলবেন?,M
নতুন আইডিয়া পাবেন ও যাচাই করবেন কীভাবে? How to develop a new idea #গবেষণায়হাতেখড়ি,M
"Family,
Where life begins and love never ends 
PC: My dear abbu Ahmed Jinnur Chowdhury",M
"More pictures and precious memories of Mela 2023 
It takes so much time, effort and energy to organize and participate in such events especially in our very busy life.
Grateful and humbly blessed to represent Bangladesh with my amazing team 
… See more",M
"বার্মিংহাম মেলা ২০২৩ এ বাংলাদেশ দলের পরিবেশনা - বাংলাদেশের জনপ্রিয় কিছু গানের মেডলি। Jariaর সাথে এই সমবেত পরিবেশনায় অংশ নিয়েছে Kallol Chakrabarty, Deblina Das, Rifat Anwar, Musfique Antu, Istiak Chowdhury, Rawfin Zaman Mithi, ও Abujar Sheikh।",M
"বার্মিংহাম মেলা ২০২৩ এ বাংলাদেশের প্রতিনিধিরা, প্যারেড, স্টল, আর সাংস্কৃতিক পরিবেশনা।  Jaria Afrin Chowdhury এর কঠোর পরিশ্রমের ফসল!",M
"দক্ষিণ এশিয়ার নানা জাতির মেলা হয়ে গেলো বার্মিংহামে। জারিয়ার নেতৃত্বে বাংলাদেশকে প্রতিনিধিত্ব করলো একঝাঁক উদ্যমী তরুণ-তরুণীরা। 
বার্মিংহামে প্রতিবছর এই সময়টায় অনুষ্ঠিত হয় এই দারুণ অনুষ্ঠানটি। দক্ষিণ এশিয়ার বাংলাদেশ, ভারত, নেপাল, পাকিস্তান, শ্রীলংকা -- এই দেশগুলোর অংশগ্রহনে চমৎকার একটি সাংস্কৃতিক অনুষ্ঠান এটি। প্রতিটি দেশের সংস্কৃতি, ঐতিহ্য, এসব নিয়ে বুথ থাকে, ডিস্প্লে থাকে, আর থাকে প্রতিটি দেশের শিল্পীদের নিয়ে একটি করে পরিবেশনা। 
প্রতি বছরই জারিয়া এই অনুষ্ঠানের জন্য পুরো সাং… See more",M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"End of a long week. 
A bright and beautiful Friday late afternoon /evening with precious family time in here and there in Birmingham 
.
Making the best of our time together during Abbu Ammu’s last few days here with us. … See more",M
"~ পাবলিক স্পিকিং কিংবা প্রেজেন্টেশন - কীভাবে বাজিমাত করবেন?  ~ 
সেই ভয়াবহ স্মৃতি এখনো আমার মনে পড়ে। স্কুলের কোনো এক অনুষ্ঠানে আমাকে হঠাৎ করে স্কুলের হেডস্যার ঠেলে দিলেন মাইকের সামনে। কিছু একটা বলতে হবে। 
কী তা মনে নাই। কিন্তু এটা মনে আছে, কী ভয়াবহ আতঙ্কে হাঁটু কাঁপছিলো, গলাটা এসেছিলো শুকিয়ে, আর একটি শব্দও মুখ থেকে বেরুচ্ছিলো না। … See more",M
