status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
বান্ধবীদের নিয়ে পিকনিক #followers#facebookreels#tiktokviral#সানজিদাইসলামশিলা#piknik,F
ঢাকা মেট্রো ন-14-1203 গাড়ি কাগজ গুলো পাওয়া গেছে উপযুক্ত প্রমাণ দিয়ে কাগজপত্র নিয়ে যান যোগাযোগ  Rana ফোন নাম্বার  : 01315706167,F
#foryoupageofficiall2023#facebookfollowers#love#সানজিদাইসলামশিলা,F
অসাধারণ একটা ভিডিও,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
একটা সময় গান গুলো খুব শুনতাম,F
"কতো স্মৃতি জড়িয়ে আছে গানগুলোয়
 Dev 
#Dev   #SangeetBangla ",F
#foryoupageofficiall2023#foryou#followers,F
"আমাদের ছোটবেলা 
 খুবই মিস করি সেই হারিয়ে যাওয়া দিন গুলো ",F
এটা আমার wallpaper  আর তোমাদের টা দেখি কেমন...?,F
সাদামাটা দেখতে বেশি ভালো না আনস্মার্ট বেশি মিশুক না এমন একটা মেয়ে আমি তাইনা,F
আজকের সকলের নিজের ফোনের তোলা কিছু প্রকৃতিক পিক প্রকৃতি অনেক বেশি ভালোবাসি,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
গতো বছর  কাশবনের পিক,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
আমার দুই বাবাই নিয়ে কিছু সময় ,F
তিন দিন আগে কয়েকটি পিক আপলোড দিছিলাম সেই শাড়ির অরজিনাল রং এটা,F
"ফেসবুকে নগ্ন ছবি এবং স্পর্শকাতর বিষয় বস্তু না দেখার জন্য সেটিংস টা করে রাখতে পারেন। 
আপনার ভাল কাজের ভারসাম্য রক্ষা করুন।
বর্তমান সময় এ একটি হেল্পফুল পোস্ট",F
শাড়ির আসল রং কোনটা,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
ছোট ছেলে সাথে মিষ্টি একটা মূহুর্ত ,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"স্বপ্নের শহরে আমি ও সুখী
                কিন্তু 
 বাস্তবতা সবসময়ই তার
        বিপরীত মুখী",F
"মন বলে 
আমি না তোর উপর বিরক্তি বোধ করছি তুই কেনো এতো কথা অভিমান  আমার কাছে চাপা রাখিস 
উপর উপর উপর তো ভালো ই থাকিস
 আমায় কেনো মারিস",F
"ভালোবাসা সুন্দর 
যদি  আগলে রাখতে জানো",F
মন মুগ্ধতা একটা ভিডিও ,F
রথমেলা,F
হালকা ইডিট করলাম,F
