status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"Puja Special Live Cooking Class
Today's Items, 
1. Aadi Dhakai Monsur 
2. Foron Khichuri… See more",F
আলহামদুলিল্লাহ ,F
শুভ সকাল ,F
"আলহামদুলিল্লাহ 
  Sonia's Kitchen  থেকে আজ রাতের খাবার ডেলিভারিতে ছিল। 
পারিবারিক ভোজের একটা সিগনেচার প্লেটারে 
… See more",F
তাদের জন্য এটাই মজার খাবার,F
"যারা হোম মেইড খাবার এর দাম বেশি বলে মনে করেন
তাদের জন্য স্বাস্থ সম্মত খাবার এই যে!!!",F
"এই মেয়েটা একটা ফালতু।
আজ আমার কাছে খাবারের অর্ডার  কর্নফার্ম করে।যখন খাবার রান্না করে ডেলিভারির জন্য নিয়ে তখন সে ফোন ধরেনি খাবার ও নেয়নি।
এরূপ  ভন্ড,প্রতারক,ঠক  থেকে সবাই সাবধানে থাকবেন ",F
শুভ সকাল ,F
"আলহামদুলিল্লাহ
 আজ রাতের আবারও  Sonia's Kitchen   থেকে 
 Arabian Kabsa … See more",F
অল্প টাকায়  বেশি খাবার। যারা পছন্দ করে তাদের জন্য।,F
অস্বাস্থ্যকর পরিবেশে লেবেলবিহিন খাদ্যপণ্য স্টোর করার জন্য রয়েল লাউঞ্জ বুফে অ্যান্ড রেস্টুরেন্ট উত্তরা কে ১ লক্ষ টাকা জরিমানা করে বাংলাদেশ নিরাপদ খাদ্য কর্তৃপক্… See more,F
"টাকা দিয়ে অভিজাত রেস্তোরায় কী খাচ্ছি? ভেতরে চকচকে,  রান্নাঘরে তেলাপোকার আখড়া
#Restaurant #রেস্তোরা",F
"এমন মানব জনম আর কি হবে? | News24 Special
#Ali_Banat #Ali_Banat_Biography #AliBanatFinalMessage #News24Special",F
"শুভ সকাল 
Sonia's Kitchen",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"মাঝে মাঝে নিজেকেও একটু সময় দিতে হয় 
।
 গতকাল ক্লাসের আগে সবাই মিলে একটু আড্ডা দিলাম সাথে ছিল আমাদের রান্না করা মজার মজার খাবারের আয়োজন 
।
তারপর ক্লাস করা",F
আমার টুনটুনি ,F
সনিয়াস কিচেন মানেই মুখরোচক খাবারের আয়োজন ,F
গরুর মাংস রান্না হচ্ছে ,F
শুভ সকাল ,F
শুভ সকাল ,F
Jus Yummy   ,F
"Free Live Class: Coffee Special
Today's Items, 
1. Frappé Gold Coffee
2. Caramel Cashew Coffee… See more",F
"ফ্রি লাইভ ক্লাস: কারি এবং কাবাব স্পেশাল
যা যা দেখানো হবে,
১ চিকেন টিক্কা কাবাব… See more",F
অনেক দিন পর বাড়ি যাচ্ছি ,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"আলহামদুলিল্লাহ 
গতকাল সন্ধ্যায় ও রাতে  খাবার ডেলিভারিতে ছিল 
মোরগ পোলাও 
… See more",F
শুভ সকাল ,F
শুভ সকাল ,F
"আলহামদুলিল্লাহ 
আজকে দুপুরের খাবার ডেলিভারিতে ছিল 
ভুনা খিচুড়ি 
গ… See more",F
সনিয়াস কিচেন মানেই মুখরোচক খাবারের আয়োজন ,F
Mizanur Rahman এবার কখন হবে ,F
ঈদ পরবর্তী অতি সামান্য আয়োজন... আলহামদুলিল্লাহ।,F
