status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"তার গুনগুন মনের গান বাতাসে উড়ে
কান পাতো মনে পাবে শুনতে,
তার রঙের তুলির নাচে মেঘেরা ছুটে
চোখ মেল যদি পারো বুঝতে।",F
"Bikharney Ka Mujhko
Shauq Hai Bada
Sameitega Mujhko
Tu Bata Zara",F
"Ekti ""Juryr  Ager Diner Shapa Day"" Pic
Cutu Tofu tule dise ",F
"Buet r Entrance day upolokkhe Viqarunnisa r class 9 r pic Dp dewar je beparta
Fact:Biis pic
#22_January_2022
#… See more",F
React diye upokrito korun,F
"Name_Samiha Tanjim Bismoon 
Project Name_Space for Experience 
Institution_Bangladesh University of Engineering and Technology 
Methodology:… See more",F
"একই আকাশ মাথার উপর এক কেন ভাবছ না
আকাশ খুলে বসে আছি তাও কেন দেখছ না",F
কোনো এক রূপকথার জগতে.. ,F
Mention dite mon chachhe,F
I m lucky to get those one or two friends I guess,F
"ইউনিভার্সিটি লাইফে বেশিরভাগ ফ্রেন্ড হয় স্বার্থকেন্দ্রিক। বেশিরভাগ ফ্রেন্ড আর সার্কেলের মধ্যে কোল্ড ওয়্যার আর পলিটিক্স চলে। এই যেমন, কিছু ফ্রেন্ড আছে-কেউ কাউকে দ… See more",F
Leave a dot,F
It's so good to see people appreciating our works.,F
"সাইকেল স্ট্যান্ড সাথে বসার জায়গা সহ বেশ কিছু সুন্দর ডিজাইন করা প্রজেক্ট দাড়িয়ে আছে আর্কির সামনে এখন।
প্রথম প্রথম যখন বানানোর প্রথম দশায় দেখছিলাম, বুঝা যাচ্ছিল … See more",F
"হোক কলরব, ফুলগুলো সব লাল না হয়ে নীল হল কেন?",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"I hate MY MOODS,,,,,THEY never ask PERMISSION 
before they CHANGE",F
"For the very first time,, 3 sistas in 1 frame 
#16/12/2021 ",F
"আমি কি আমাকে হারিয়েছি বাঁকে,,
রূপকথা আনাচ-কানাচ।।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"I hate MY MOODS,,,,,THEY never ask PERMISSION 
before they CHANGE",F
"For the very first time,, 3 sistas in 1 frame 
#16/12/2021 ",F
"আমি কি আমাকে হারিয়েছি বাঁকে,,
রূপকথা আনাচ-কানাচ।।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"I hate MY MOODS,,,,,THEY never ask PERMISSION 
before they CHANGE",F
"For the very first time,, 3 sistas in 1 frame 
#16/12/2021 ",F
"আমি কি আমাকে হারিয়েছি বাঁকে,,
রূপকথা আনাচ-কানাচ।।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"I hate MY MOODS,,,,,THEY never ask PERMISSION 
before they CHANGE",F
"For the very first time,, 3 sistas in 1 frame 
#16/12/2021 ",F
"আমি কি আমাকে হারিয়েছি বাঁকে,,
রূপকথা আনাচ-কানাচ।।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
