status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
সেলফিতে আমরা.....,M
"এড.প্রশান্তের এলাকা খুবই সুন্দর,বন্ধু আমার দেখিতে কিপ্টা হলেও আপ্যায়ণে কমতি ছিলো না...",M
"কিংবদন্তি জননেতা,জেলা আইনজীবী সমিতি,ব্রাহ্মণবাড়িয়া এর #বর্তমান সভাপতি এডভোকেট তানবীর ভূঞা স্যার অদ্য সকাল ৬ ঘটিকায় ইন্তেকাল করিয়াছেন। 
ইন্না লিল্লাহি ওয়া ইন্না ইলাইহি রাজিওন।
মহান রাব্বুল আলামিন স্যারকে জান্নাতুল ফেরদৌসের সুউচ্চ মুকাম দান করুন, আমিন।",M
"অর কথাগুলা সিদা কলিজায় লাগে 
re uploaded",M
ঘরে বসে জীবন উপলব্ধি করা যায় না সোনার বাংলা ঘুরে ঘুরে দেখতে হয়।,M
মেঘের রাজ্য সাজেক থেকে খাগড়াছড়ির পথে....,M
বিকেলটা অনেক সুন্দর ছিলো চলছে রাতের নীরবতা....,M
পানিপথে #সাজেক এর উদ্দেশ্যে রওনা হইলাম এই এক নতুন অভিজ্ঞতা....,M
