status,author
,M
,M
,M
,M
,M
,M
"Great Analysis indeed. Generally we can’t know behind the story of making a communication strategy. However, nothing is secret now. Question is, when a strategy gets caught, what they do next?",M
"'আমি বললাম আমার প্রধানমন্ত্রী একটু আপনের সাথে কথা বলতে চায়' - পররাষ্ট্রমন্ত্রী  মোমেন 
#BidenHasina #BidenSelfi #hasinabiden #G20summitsideline #shahedalamshow … See more",M
"আন্তর্জাতিক বেশকিছু মিডিয়া রিপোর্ট করেছে বাংলাদেশের নির্বাচনের আগে সরকারের নীতির প্রশংসা করে ফেক উৎস থেকে আর্টিকেল ছাড়া হয়েছে এবং বাংলাদেশের পত্রপত্রিকায় ব্যপকভাবে প্রকাশিত হয়েছে। যোগাযোগের ভাষায় যাকে ""প্রোপাগান্ডা"" বলে। প্রোপাগান্ডা অতিরঞ্জিত বা মিথ্যা হয়। মিথ্যা প্রোপাগান্ডা বেশিরভাগ সময় ধরা খায়। 
RAND Corporation পৃথিবীর অন্যতম বড় পলিসি থিঙ্কট্যাঙ্ক। তারা নানা বিষয়ে গবেষণা করে। তাদের একজন গবেষকের নাম Christopher Paul তিনি মিডিয়া, স্ট্যাটেজিক কম্যুনিকেশন, ফেক-নিউজ ইত্যাদি … See more",M
Still a student!,M
"A few research questions are running through my mind after reading this news - when do our editors make statements? What are the similarities between them? What is their purpose?
The Business Standard (Bangladesh) reports, ""A total of 50 editors of national dailies in Bangladesh issued a joint statement on Saturday, protesting global leaders' call to suspend legal action against Nobel laureate Dr Muhammad Yunus.""
The signatories of the statement include Iqbal Sobahan Chowdh… See more",M
An incident in Bangladesh has received international media attention. Powerful media NBC News questioned on rule of law of Bangladesh.,M
"Eight underdog Republican presidential candidates debated on a stage overshadowed by Donald Trump, who snubbed his rivals in an attempt to show his dominance. … See more",M
A glimpse of a Ph.D. level classroom in a North American University.  (Please look at the diversity of the classroom),M
"A lovely lil diverse class of fellows & friends from Turkey, Bangladesh, Rwanda, USA including our Professor Josh from South Korea!!! ",M
Images from inbox! Thanks Syeda Jahirin Asir Faisal,M
When I was a broadcast journalist as well as young looks.,M
ঈদের পরদিনের ব্যস্ততা,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
A glimpse of a Ph.D. level classroom in a North American University.  (Please look at the diversity of the classroom),M
"A lovely lil diverse class of fellows & friends from Turkey, Bangladesh, Rwanda, USA including our Professor Josh from South Korea!!! ",M
Images from inbox! Thanks Syeda Jahirin Asir Faisal,M
When I was a broadcast journalist as well as young looks.,M
ঈদের পরদিনের ব্যস্ততা,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
