status,author
,F
,F
,F
,F
,F
,F
,F
,F
"ভোর ৪.৪৫ মিনিট।
মাত্র শেষ করলাম ।
বাচ্চাদের পাঞ্জাবি",F
"New Original Pearl Bracelet Collection 
Price:800/-BDT
Note:Cash On delivery Available",F
"Original pearl bracelet
Inbox for order",F
"Cowhead Organic Rolled Oats ( বাচ্চাদের ওটস)
Product of Australia
Price 750 take
Cash on delivery",F
"Another home 
আমাদের কামরুন্নেসা ",F
Once Again I wanna live though this Emraan Hashmi era! ,F
This Song ,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"বাস্তবতা হচ্ছে,
একটা মেয়ের নিজের কোন ঠিকানা নেই। বিয়ের আগে থাকে বাবার বাড়ি। বিয়ের পরে স্বামীর বাড়ি। দম ফেলবার জন্যে কোন জায়গা নেই। মাথায় হাত বুলিয়ে দেবার জন্য কোন মানুষ নেই। একটা মেয়ের মন বুঝার মত কেউ থাকে না। কাউকে নিজের ইচ্ছার কথা বলা যায় না।",F
"ইহা স্বামী কর্তৃক স্ত্রী র প্রতি ভালুপাশা 
( আর কোনোদিন যদি কই ওরে পিক তুলতে 
)",F
"Cox bazar tour
Last day
Thank you ShareTrip 
Thank you Hotel The Cox Today for amazing hospitality. 
The food was delicious and their housekeeping department was very cooperative.",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
চাচ্চু - ভাতিজি,F
"রোগীর নাম?
-আমার বউ। 
বৃদ্ধের সলাজ হাসি দেখে আমার চোখকপালে উঠল। 
-বউতো বুঝলাম,নাম বলেন।
-আমার নাম কলিমউদ্দিন। রোগী আমার বউ। … See more",F
Teeth,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"সবাই কিন্তু গলায় দড়ি দিয়েই আত্মহত্যা করে না। আত্মহত্যা করার উপায় সবার আলাদা আলাদা। কেউ পছন্দের খাবার ছেড়ে দেয়,কেউ কথা বলা ছেড়ে দেয়,কেউ বিশ্বাস করা ছেড়ে দেয়,কেউ গান গাওয়া ছেড়ে দেয়,কেউ ছবি তোলা,ছবি আঁকা,কেউ লেখা,কেউ স্বপ্ন দেখা,কেউ ভালোবাসা, কেউ কেউ ভালোবাসা স্বীকার করা ছেড়ে দেয়
#collected",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
ধাক্কাটা দিল কে?,F
"New member 
 #gardening",F
"ম্যাডামঃ – বাচ্চারা বলো তো পদ্মা সেতু কোন নদীর উপর তৈরি করা হয়েছে?
ছাত্রছাত্রীরা সকলে মিলে একসঙ্গে – পদ্মা নদীর উপরে ম্যাম।
ম্যাডামঃ - ভূল, বুড়িগঙ্গা নদীর উপর!… See more",F
পকেটমার ,F
,F
,F
,F
,F
,F
