status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"সরাসরি তাঁতিদের থেকে জামদানী কাস্টমাইজ ডিজাইন অনুযায়ী করে দেয়া হয়।
নিতে যোগাযোগ করুন। 
৪০/৬০/৮০ কাউন্ট সুতায় তৈরি।",F
মাগো তুমি সকল বিপদ থেকে রক্ষা করো,F
"কথিত আছে নৈহাটির বড় মা কাউকে খালি হাতে ফেরান না। বড় মা বলে স্মরণ করলে মনের সব ইচ্ছে পূরণ হয়ে যায়... আপনাদের বিশ্বাস, আপনাদের ভক্তি
Joy Boro Maa 
_""ধর্… See more",F
"স্টক ক্লিয়ারেন্স সেলে পাবেন 
সাইজ ৩৪/৩৮/৪০/৪২
কোনটা কি সাইজ পিকচারের সাথে এড করে দিচ্ছি সাইজ অনুযায়ী কারো লাগলে জানাবেন। … See more",F
দুধের স্বাদ ঘোলেত মিটলো। ,F
"#iPhone15
#oppo #huawei #vivo",F
"স্টক শেষের দিকে অল্প কিছু শাড়ি ও পান্জাবি রয়েছে
স্পেশাল ডিস্কাউন্টে পেয়ে যাবেন কম্বোসেট কেউ নিয়ে নিলে দ্রুত ইনবক্সে জানান।
আর ২ দিন সময় অর্ডার নেওয়ার। 
তারপর আর পুজোর আগে অর্ডার নিয়ে ডেলিবারি করা পসিবল হবেনা। 
অর্ড… See more",F
"দিনাজপুরে উদ্যেশ্যে চলে যাবে একদাদার পুজজোর কেনাকাটাগুলো
সকলের জন্য শুভকামনা 
শুভমহালয়া",F
"সম্ভব হলে তারা মাায়ের নামটা লিখে যান.....
ভালো খবর সুনিশ্চিত........জয় তারা 
মায়ের রুপের কাছে আশুর শক্তিও মাথা নেয়ায় আমিত মায়ের সেবক মাত্র মানুষ, মাগো চরণে তোমার দিও ঠাঁই সকল বিপদে/ আনন্দে পাশে থেকো।",F
"পুজোর সবার খুব পছন্দের শাড়ি গুলো নিয়ে চলে এলাম
প্রাইজ থাকবে একদম রিজেনেবল 
পেজ -
Ro… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"হাফসিল্ক শাড়ি 
#foryouシ #unfreezeaccount #StarsEverywhere #viral",F
"কুশিকাটার ডাইননিং প্লেট মেট সেট 
#foryouシ #unfreezeaccount #StarsEverywhere #soundviral @highlight @followers",F
"নমস্কার 
আমার ফ্রেন্ডলিস্টের উদ্যোক্তা দিদিরা কোথায়?
দুর্গা মার জন্য লাল টকটকে শাড়ি লাগবে যাদের নিজস্ব প্রোডাক্ট সেই দিদিরা কমেন্টে পিকচার দিন।",F
"ব্লেক এন্ড হোয়াইট কুশন কাভার 
সাইজ ১৪/১৪ এবং ১৬/১৬ এভেইল এভেইল। থাকছে 1k রিচ উপলক্ষে বিশাল অফার সারা দেশে ডেলিভারি চার্জ ফ্রি 
#foryouシ #unfreezeaccount #StarsEverywhere #soundviral @followers Everyone",F
"শাড়ির মেলা
@followers #unfreezeaccount #foryouシ #soundviral #StarsEverywhere Rong Bahari - রং বাহারি @highlight",F
"আপনার পরিবারের মানুষগুলো ছারা আপনার উন্নতির পথে কেউ ভালো চাইবেনা আপনার!!
কেউ চাইবেনা আপনি তার থেকে বড় হন,সামনে ভালো মানুষের মুখোশ আর পিছনে আপনার বদনাম!! 
কেউ বলে অনলাইনে কেউ কিনবে?
ক… See more",F
"কুশিকাটার কুশন কাভার সেট 
#foryouシ #unfreezeaccount #StarsEverywhere #viralvideo @followers @highlight",F
