status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"আমার ছোট্ট একটা খরগোশ ছিলো। তার সাথে আমার বন্ধুত্ব ছিলো প্রায় ৫ বছর। আমার ভালো লাগা মন্দ লাগা সব বুঝতো সে। তাকে পটি ট্রেইন করিয়েছিলাম।  তাই বাড়ির কোথাও সে নষ্ট করতো না। ""টোনা"" ছিলো তার না। টোনাকে যখন বিয়ে করিয়ে বাড়িতে বউ আনলাম তখন অনেক বিরক্ত ছিলো টোনা। কারণ সে ঘর নোংরা করতো। কিছুদিন যেতে না যেতেই টোনার বউ টুনটুন এর অটো পটি ট্রেইন হয়ে গেলো। বুঝতে পারলাম এই দক্ষ ট্রেইনার টোনা নিজেই। যাক, তাদের ১১ জন সন্তান ছিলো। তারা ছোটবেলা থেকেই বাবা-মায়ের মত ট্রেইনড। এদের মধ্যে ৪ জোড়া বিক্র… See more",F
এখন গবেষকের উপরে গবেষণা করা জরুরি।,F
"পুরুষের অ*ন্তর্বাস তত্ত্ব নাকি লিপস্টিক সূচক 
 কোনটা দিয়ে বাংলাদেশের অর্থনৈতিক মন্দা সম্পর্কে ধারনা পাবেন?",F
জগন্নাথ বিশ্ববিদ্যালয়ের মাননীয় উপাচার্য অধ্যাপক ডক্টর মোঃ ইমদাদুল হক এর মৃত্যুতে আমরা গভীরভাবে  শোকাহত।  স্যারের বিদেহী আত্মার শান্তির জন্য মাগফিরাত কামনা করছি এবং শোকসন্তপ্ত পরিবারের প্রতি সমবেদনা জানাচ্ছি।,F
"সম্পর্কগুলো সীমাবদ্ধ 
#lovewhereyoulive #valueofrelationships",F
"সীমা জানেন না, কবে কোথায় কার সাথে হবে তার মহাবিবাহ। তবে, তার বিয়ের উপহার সেই ঐতিহাসিক ই-স্ত্রী তার কাছে পৌঁছে গেছে, বিয়ের উপহার হিসেবে।  এ এক অন্যরকম এক্সাইটমেন্ট 
আপনার জন্য অসংখ্য শুভ কামনা ও ভালোবাসা 
 আর যাকে এই ইস্ত্রি দিয়ে সেকবেন,  তারাতাড়ি খুঁজে ফেলুন ",F
"When you learn to accept instead of expecting, you will have fewer disappointments.",F
বাড়িতে একটা নতুন ইস্ত্রী কেনা আছে। ভেবেছিলাম পুরানোটা পাচ্ছি না। তাহলে একটা নতুন কিনি। বাসায় এসে দেখি আম্মু পুরানোটা খুঁজে পেয়েছেন। এই যুগে কারো বিয়েতে ইস্ত্রী দেয়ার প্রচলন হারিয়ে গেছে। কাকে যে দেই!!! কারো কি একটি ই-স্ত্রী লাগবে??? ,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
আজ এ্যাপ নাই বলে,F
"অন্ততপক্ষে কোন জাদুর কাঠির জোরে দিনের পর দিন ঢাকাবাসীকে অপরিশোধিত গন্ধ পানি খাওয়ানোর পরও মাইর না খেয়ে বেঁচে আছে। সেটা শিখতে বিশ্ববাসীর ওয়াসার কাছে আসা উচিৎ। তার উপর বিল লিখতে যে সব মহামান্য স্যাররা আসেন এবং ৫০০টাকা মাসে না দিলে ২/৩ হাজার টাকা বেশী বিল বানিয়ে যান, তাদের কেরামতিও শেখা জরুরি।  
 https://www.prothomalo.com/bangladesh/i00s8cd33o...",F
স্কুলে বাচ্চারা ডিম ভাঁজছে। এর জন্য আসলে কারা দায়ী?,F
চন্দ্র অভিযানের চেষ্টায় তিনি ব্যর্থ হয়েছেন।  কি যে কষ্ট...,F
