status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"খুব পশ স্টাইলে চা পান করে আমাদের মত ভদ্রলোকেরা। 
এই শ্রমিকদের কথা আমরা জানিও না।",F
"শোকাবহ আগস্ট এ, জাতীয় শোক দিবস উদযাপনের অংশ হিসেবে  বৃক্ষরোপণ, মিলাদ, রচনা প্রতিযোগিতা এবং আলোচনা অনুষ্ঠান উদযাপন। 
হযরত বিবি খাদিজা হল,  নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়
০৭/০৮/২০২২
#August15 
#NSTU",F
"পৃথিবীতে এমন একটাও মেয়ে নাই, যাকে শাড়িতে মানায় না।  কোনো মেয়ে যদি দাবী করে শাড়িতে তাকে মানায় না, তাহলে সে মেয়ে না। সে আমার খালাতো ভাই। নাম সুজন। বাড়ি বগুড়া। 
ছোটবেলায় বাজিতে হেরে সুজন একবার শাড়ি পরছিল। কী যে বিশ্রী দেখাচ্ছিল তাকে!
( লেখাটি সংগৃহীত )… See more",F
"সৃষ্টিকর্তা সবার অন্তর এতটাই প্রশস্ত করে দিন যাতে করে ত্যাগের মহিমা আমরা সবাই অন্তরে ধারণ করতে পারি। 
পরিবার-পরিজন নিয়ে সবার ঈদ সুন্দর কাটুক। 
সবাইকে পবিত্র ঈদুল আযহার শুভেচ্ছা।",F
ছয় মিনিটে পদ্মা পার শুনলেই কেমন আনন্দে মন ভরে যাচ্ছে।,F
"৬ মিনিটেই পদ্মা পার, উছ্বসিত যাত্রীরা!",F
ক্যাম্পাসে গিয়ে বৃষ্টি ভেজার আশা আর পূরণ হচ্ছে না ,F
The same thing happened with Ammu.,F
"বিশ্বাস করেন,  আমার আম্মুর ( Shapla Rahman)  সাথে কোথাও গেলে এমন করতেই থাকে সারাক্ষণ।  চুল খুলে গেলো!! পানি খা,  মুখে কি লেগেছে ইত্যাদি ইত্যাদি!! 
এখন আর কিছু বল… See more",F
"ছোটবেলা থেকে লঞ্চ, ফেরি, স্পিডবোট,  ট্রলার করে প্রমত্তা পদ্মা নদী পার হওয়া দক্ষিণবঙ্গের প্রতিটি মানুষ আমরা জানি পদ্মা সেতু কি। 
অতিরিক্ত কুয়াশায় ফেরি বন্ধ,  অনেক জোরে বাতাস হচ্ছে ফেরি বন্ধ, ভাটা নেমেছে ফেরি বন্ধ, ঝড় হচ্ছে ফেরি বন্ধ, সামনে তিন কিলোমিটার লাইন  ফেরি পেতে আরো 4 / 5 ঘন্টা লাগবে.......এসব আমাদের কাছে নৈমিত্তিক ব্যাপার ছিল। কোনদিন এক ঘন্টায় ফেরি পেয়ে গেলে সেটাই ছিল আমাদের আনন্দ।  সামনের দিনগুলোতে এইসবই হবে শুধুমাত্র গল্প।  
বাড়ি যাওয়া এখন আর কঠিন কিছু হবে … See more",F
"I hope that you always look ahead in life with a smile on your face and look back with fondness in your heart. I wish you endless joy in life on your birthday, and may it be filled with wonder and delight this year.
Mama loves you a lot my dashing,  smart baby. Never loose hope, chin up, okay?
No matter what, i will always be there for you baba. May Allah always bless you. Live long and prosper.",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
Smartest person in the whole history of our Land,F
দিন টা যেন কেমন,F
Morning mood,F
খুশি ছড়াক,F
Wow,F
"If you saw “Hidden Figures” or know a bit of NASA history, then you understand. Farewell Katherine and thank you for helping get us to the Moon.",F
With our honorable Vice Chancellor Sir.,F
"Its for my friend Monmoy Sarker a phd scholar in USA, whose father need our help and prayers. Please step forward and help us. And share the post.
I am requesting everyone in my friendlist to donate as much you can and feel free to contact with me if you want to help. ",F
Our  pride.,F
