status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
"পড়ালেখা ভালো লাগেনা
#viralvideo #videos #studyvlog",F
মা সম্পর্কে কিছু কথা,F
ভিটামিন ডি খাচ্ছে,F
"দারুণ দেখতে
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelviral #video #reelschallenge",F
নিজে গোসল না করে বাচ্চা দুইটাকে জাতা দিয়ে গোসল করানো সচেতন মা আমি,F
"যাদের খুব অল্পতেই ঠান্ডা লেগে যায়। তাদের জন্য শীতকাল খুব কষ্টদায়ক একটা ঋতু!'
যেমন : আমি,,শুরু হয়ে গেছে ",F
"কার কার পছন্দ 
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelviral #reelschallenge #video #redchile",F
"কিছু মন খারাপের কোনো ব্যাখ্যা করা হয়না
   হুদাই আজকে মন খারাপ",F
"এই পোস্ট করে ঘুমাইছিলাম।এখন ঘুম থেকে উঠলাম
এখন সকাল না রাত",F
"ভালো মানুষের ঘুম বেশি, এত প্যাচ করার টাইম পায় না ঘুমের জন্য! 
ঘুমিয়ে পড়লাম ",F
"মাঝে মধ্যে দুই একটা sad post দেওয়া লাগে, না হয় happy life এ মানুষের নজর লেগে যায়! 
তাই ভাবতেছি আজকে একটা sad post  দিমু",F
"চাঁদ, তারা,সূর্য, কবিতা কিছুই বুঝিনা
আমি শুধু বুঝি তুমি আমার বান্ধবী ললিতা
Mention your ললিতা",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"ফুসকা
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelschallenge #reelviral #video",F
"একটু ঢং
 #reelsfypシ #reels2023 #reelsfb #reelsviral #reelschallenge #reelviral #video #funnymoments #funnyvideos",F
"মানুষ এমনভাবে আমার পোস্ট ইগনোর করতেছে
 মনে হচ্ছে বাজারে জিনিসপত্রের দাম আমি বাড়াইয়া দিছি!",F
"সুখী হতে চাইলে শুনুন
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelschallenge #reelviral #video #reelitfeelit",F
খালাম্মা কোথায় দেখুন,F
"নভেম্বর 'প্রিয় মাস' হিসেবে ধরা দিক সবার জীবনে 
কারণ, আমার জন্মমাস তাই",F
কেমন লাগছে?,F
কেমন আছেন সবাই?,F
খালাম্মার লাইভ এ সবাই চলে আসেন,F
"খালাম্মা ঝালমুড়ি খায়
 #reelsfypシ #reels2023 #reelsfb #reelsviral #reelviral #reelitfeelit #video #reelschallenge",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
খালাম্মা মেকাপ করে,F
খালাম্মার ভিডিও দেখুন আর হাসুন,F
"Today My Best Photo 
#bestphotochallengeToday
 #challenge 
#picturechallenge … See more",F
কি অবস্থা সবার?,F
 #viralreels #reelsfypシ #reels2023 #reelsvideo #reelsviralvideo #reelsviral,F
"মেট্রোরেল এ আলজেরি
 #viralreels #reelsfypシ #reels2023 #reelsvideo #reelsviralvideo #reelsviral",F
"নতুন কাজের মহিলা
#viralreels #reelsfypシ #reels2023 #reelsvideo #reelsviralvideo #reelsviral",F
মোবাইল যদি হাতে পায়,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
