status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
নিজে গোসল না করে বাচ্চা দুইটাকে জাতা দিয়ে গোসল করানো সচেতন মা আমি,F
"যাদের খুব অল্পতেই ঠান্ডা লেগে যায়। তাদের জন্য শীতকাল খুব কষ্টদায়ক একটা ঋতু!'
যেমন : আমি,,শুরু হয়ে গেছে ",F
"কার কার পছন্দ 
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelviral #reelschallenge #video #redchile",F
"কিছু মন খারাপের কোনো ব্যাখ্যা করা হয়না
   হুদাই আজকে মন খারাপ",F
"এই পোস্ট করে ঘুমাইছিলাম।এখন ঘুম থেকে উঠলাম
এখন সকাল না রাত",F
"ভালো মানুষের ঘুম বেশি, এত প্যাচ করার টাইম পায় না ঘুমের জন্য! 
ঘুমিয়ে পড়লাম ",F
"মাঝে মধ্যে দুই একটা sad post দেওয়া লাগে, না হয় happy life এ মানুষের নজর লেগে যায়! 
তাই ভাবতেছি আজকে একটা sad post  দিমু",F
"চাঁদ, তারা,সূর্য, কবিতা কিছুই বুঝিনা
আমি শুধু বুঝি তুমি আমার বান্ধবী ললিতা
Mention your ললিতা",F
"রাতে আমাকে অনলাইনে দেখলে 
কেউ মেসেজ দিয়ে জিজ্ঞেস করবেন না, আমি কি করছি?
 আসলে আমি তখন আমি কালো জা!দু করি।",F
"ছেলের বার্ষিক পরীক্ষা চলে 
কিন্তু ছেলে বই রেখে টিভি, মোবাইল আর কাগজ কেটে পরীক্ষা দিচ্ছে
কি পড়াশোনা আসলো রে ভাই?",F
এই ফুলের নাম কি?,F
"হায়রে ত্রিভুজ 
হায়রে চতুর্ভুজ 
তদের জন্য এতো কিছু।",F
"আর বড় কোথায় হলাম
আগে মায়ের দিকে তাকাই থাকতাম, 
আর এখন জামাইয়ের দিকে তাকিয়ে থাকি",F
"বিয়াইত্তা আর সিংগেল ব্যাচেলর সবাইকে
 "" ব্যাচেলর দিবসের শুভেচ্ছা ""
Happy ব্যাচেলর Day",F
"জীবনের কাহিনী থেকে গল্প তৈরী করা যায়।
কিন্তু গল্পের কাহিনী দিয়ে - জীবন সাজানো যায়না",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
কেমন লাগছে?,F
কেমন আছেন সবাই?,F
খালাম্মার লাইভ এ সবাই চলে আসেন,F
"খালাম্মা ঝালমুড়ি খায়
 #reelsfypシ #reels2023 #reelsfb #reelsviral #reelviral #reelitfeelit #video #reelschallenge",F
আসসালামু আলাইকুম ,F
"খালাম্মার শাকের রেসিপি 
দেখুন, শিখুন আর হাসুন",F
"পাশের বাসার আন্টি
দেখুন আর হাসুন",F
"বিটে বিটে
#reelsfypシ #reels2023 #reelsfb #reelsviral #reelschallenge #reelviral #funnymoments #funnyvideos #video #reelitfeelit",F
আসসালামু আলাইকুম সবাইকে,F
নামাজ ,F
"কাজের মহিলাকে আপনি করে বলতে হবে
ভিডিও দেখুন আর হাসুন",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"নতুন কাজের মহিলা
#viralreels #reelsfypシ #reels2023 #reelsvideo #reelsviralvideo #reelsviral",F
মোবাইল যদি হাতে পায়,F
