status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"উদাসী আকাশ হাতছানি দেয়
ভাসাবে মেঘের ভেলায়!
সুরের ছোঁয়ায় মন রাঙাবে
মৃদুমন্দ পূবালী বায়.... ",F
my vatija,F
