status,author
,F
,F
,F
,F
,F
,F
,F
,F
"অতিরিক্ত ব্যস্ততা দেখাবেন না। কোনো মানুষই দিনের চব্বিশটা ঘন্টা ব্যস্ত থাকে না, প্রয়োজন হলে রাত জেগে তাকে সময় দিবেন। এইজন্যই আজকাল বি'চ্ছেদে'র মাত্রা অতিরিক্ত।",F
"যেদিন থেকে দেখবেন আপনার স্ত্ৰী আপনার সাথে জেদ করল না, আপনার উপর রা'গ,অভিমান কিছুই করল না, কিছু একটা নিয়ে সন্দেহ করে খোঁ'চা দিয়ে কথা বললনা, বুঝতে হবে আপনি তার মন থেকে উঠে যাচ্ছেন। কারণ মেয়েরা শুধু প্রিয় মানুষের সাথেই ঝগড়া করতে পছন্দ করে।
কখনো মেয়েদের মন থেকে উঠে যাওয়ার মত কাজ করবেন না ।
তাদের মন থেকে উঠে যাওয়ার মতো ভয়ংকর কিছু পৃথিবীতে আর নেই।
তখন আপনার জন্য কোনো ফিলিংসই কাজ করবে না তার মধ্যে।… See more",F
- বিয়ের পর স্তীর মাঝে প্রেমিকার প্রতিচ্ছবি খুঁজবেন না। - মেয়েরা সংসারের দায়িত্ব কাঁধে নিলে পারফিউম দিতেও ভুলে যায়..!,F
"মনের অমিল হলে নারীরা যে বিল গেটস ও ট্রুডোকেও ডিভোর্স দিয়ে দেয়, সেইটা ব্যাডারা দেখে না, দেখে খালি কোন টাকায়ালা কাকুরে কোন অষ্টাদশী বিয়ে করল, সেসব!",F
"যদি কোনো পুরুষ আপনার কথা ২ মিনিটে মেনে নেন তাহলে তিনি আপনার বাবা, যদি ১০ মিনিট লাগে সে আপনার ভাই, মানাতে যদি ৩০ মিনিট লাগে তাহলে সে আপনার পুত্র।
আর কাউকে বারবার বলার পর, শোনা বা মানা তো দূরের কথা, উত্তরই না দেয় তাহলে সে,
কানে শুনেনা...
.… See more",F
"তার প্রতি আমার কোন অভিযোগ নেই, আর কখনো 
থাকবেও না, আছে কিছু অভিমান যা কোনদিন বলবো না..",F
"মানুষ সবকিছুর মায়া ত্যাগ করে থাকতে পারলেও,,
সন্তানের মায়া নাকি ছাড়তে পারে না. . 
কিন্তু এমনো মানুষ আছে,,
যার সন্তানের কথা মনেই পড়ে না. . .",F
"সময়ের সাথে সাথে দিনগুলো ও পাল্টে যায়,শুধু পড়ে থাকে কিছু স্মৃতি আর অপূর্ণতা।সময় পার হয়ে যায় মানুষ দূরে চলে যায় কিন্তু অদ্ভুত ব্যাপার বার বার স্মৃতির পাতায় জমে থাকা সময় গুলো নাড়া দেয়! আর বর্তমানে ঘটে যাওয়া কিছু আকাঙ্ক্ষিত বিষয়  সারাজীবনের  দুঃখ হয়ে বন্ধি হয়ে যায় স্মৃতির পাতায়।",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"তারা দোকান বসিয়ে দেখিয়ে দিয়েছে, এতো চিন্তা করার সময় তাদের নাই...!",F
"সফল হওয়ার আগে বিয়ে করুন!
কঠিন সময়ে যে স্ত্রী পাশে থাকে, সে লো!ভী হতে পারে না! এমন স্ত্রী পেলে জীবন প্রশান্ত হবে!
আর ক্যারিয়ার এস্টাবলিশ করে বিয়ে করলে আপনার সম্পদ ও যোগ্যতা দেখে অনেকেই আপনাকে ভালোবাসতে চাইবে! কখনো আপনার সম্পদ ফুরিয়ে গেলে বা ম!ন্দা দেখা দিলে আপনার প্রিয়তমা লো!ভী স্ত্রীও পালিয়ে যাবে!… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"তারা দোকান বসিয়ে দেখিয়ে দিয়েছে, এতো চিন্তা করার সময় তাদের নাই...!",F
