status,author
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
,M
"যখন আপনার হারানোর আর কিছুই থাকে না, তখন আপনার ভয়েরও কিছু থাকে না। আপনি তখনই পারেন আপনাকে ছাড়িয়ে যেতে, অতিমানবীয় ম্যাক্সওয়েল হয় উঠতে।",M
"কতবার যে আমি তোমোকে স্পর্শ করতে গিয়ে
গুটিয়ে নিয়েছি হাত-সে কথা ঈশ্বর জানেন।
তোমাকে ভালোবাসার কথা বলতে গিয়েও
কতবার যে আমি সে কথা বলিনি
সে কথা আমার ঈশ্বর জানেন।… See more",M
এই অভদ্র আউটের আবেদন করাটা কি খুব বেশি দরকার ছিল আমাদের?,M
"দিল্লীর মাঠে টসে জিতেও যখন আমরা বোলিং করার সিদ্ধান্ত নিতে পারি তখন বুঝতে হবে আমরা কত ধনী একটা ক্রিকেট টিম! কারণ আমরা ওয়ার্ল্ড কাপে গিয়েছি কিন্তু নিতে নয়  সব দলগুলোকে ২ পয়েন্ট করে দান করে আসতে।
এত ধনী ক্রিকেট টিমের আসলে ক্রিকেটের মতো সস্তা খেলায় রাখাই উচিৎ না, এদের জন্য পা ধরে টানাটানির খেলা হাডুডুই ঠিক আছে।",M
"অভিনন্দন Virat Kohli 
১২ বছরের মাঝেই শচীনের রেকর্ড কেউ ছুয়ে ফেলবে এটা অন্তত বিশ্বাস করতে পারি নাই, ভিরাটের রেকর্ডগুলোকেও হয়ত একদিন কেউ ছুঁয়ে ফেলবে তবে ভিরাট সর্বদা ভিরাট হয়েই থাকবেন। 
জন্মদিন ও নতুন বিশ্ব রেকর্ডের শুভেচ্ছা।",M
"শুধু কোচ স্টাফদের নয়, খেলোয়াড় সহ বিসিবি এর সকল সদস্যকে অনির্দিষ্টকালের জন্য ক্রিকেট থেকে অবসরে পাঠানো জোর আন্দোলন জানানো উচিৎ।  
বাঘের জার্সির তলের বিড়ালগুলো দেশে আসলে বিমানবন্দরে অবরোধ করে অবসরে পাঠানো এখন সময়ের চাহিদা। 
এমন দৃষ্টান্তমূলক সাজা পেলে ২০ কোটি মানুষের আশা ভরসা নিয়ে ছিনিমিনি খেলার কোন সাহস আগামীতে কেউ দেখাতে পারবে না।… See more",M
"কি মনে হয়, বাংলাদেশ পুরুষ ক্রিকেট দল কি আজ ঘুরে দাড়াতে পারবে?
ঘুরে তো দাড়াবেই, হয় পাকিস্তানের সামনে মাথা উচু করে নয়ত বাংলাদেশের সামনে মাথা নিচু করে উল্টো দিকে ফিরে ঘুরে দাঁড়াবে।
আমরা অন্তত এই শেষের দিকের ৩টা ম্যাচে ভাল কিছু দেখার আশাতে থাকতে চাই, আশাকরি সাকিব বাহিনী হতাশ করবে না।… See more",M
"Post
Client Manager
Vacancy:
01… See more",M
