status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
"The moon 
 shines in my mind.I'll keep holding on and love you forever 
15 years....",F
"এই মৃত্যু উপত্যকা আমার দেশ না 
-নবারুণ ভট্টাচার্য",F
"অক্টোবরের শেষের দিকে সন্ধ্যার বাতাসে শীত শীত একটা গন্ধ পাওয়া যায়। এটা পৃথিবীর সবচেয়ে রহস্যময় সুবাস।
এই সুবাসে অনাগত ভবিষ্যত জানার তীব্র আকাঙ্ক্ষা থাকে, অজানা বিষন্নতা থাকে। মন খারাপ আর মন ভালো করার মাঝামাঝি তীব্র ইউফোরিক একটা সময় এই শেষ অক্টোবর।",F
"এক মেয়ের পোষ্ট পড়লাম। পরের গুলো ভালোই ছিলো। কিন্তু প্রথম প্যারায় আটকে গেলাম। 
 লিখেছে ,স্বামী আবার বিদেশে পড়তে যাওয়ার অনুমতি দেয়ার কে?  
ওদের সেরকম আন্ডারট্যান্ডিং আছে বলেই দুজন দুজনকে সাপোর্ট দিয়েছেন। মেয়েটা পড়তে গিয়েছে। … See more",F
"যদি তুমি সঠিক হও,
তবে তুমি চুপ থাকো!
কারন মিথ্যা সেতো সব সময়ই-
নিজেকে জাহির করার জন্য বলতেই থাকে… See more",F
"যারা তোমাকে ধরেই নিয়েছে 
তুমি খারাপ
তাদের কাছে প্রমান দেয়ার দরকার নাই তুমি কেমন
তুমি নিজের কাছে সঠিক থাকো সেটাই যথেষ্ট।।",F
"হাদীসে পড়েছিলাম, ""তিন ব্যক্তির উপর থেকে কলম উঠিয়ে রাখা হয়েছে৷ শিশু, পাগল ও ঘুমন্ত ব্যক্তি।"" 
তার মানে তারা এমনই কোন পরিস্থিতিতে আছে যার কারণে স্বয়ং আল্লাহ তাঁদেরকে ছাড় দিয়েছেন। 
খুব জানতে ইচ্ছা হতো, মানুষের জীবনে এমন কি হতে পারে যার জন্য মানুষ পাগল হয়ে যায়? এখন অনেক কিছুই উপলব্ধি করতে পারি, সেই বুঝাটা কষ্ট দেয়। 
আমাদের চারপাশের মানুষকে আমরাও তো খুব অবলীলায় কষ্ট দেই। মানুষের তীক্ষ্ণ ভাষা, শাণিত বাক্যবাণ, তাচ্ছিল্য আর অবজ্ঞা,  জীবনের গ্লানি, বেদনা, দহন আর হতাশা কারো কারো জন্য এ… See more",F
"একটা বছর এগিয়ে যাওয়া মানে জীবন থেকে একটা বছর হারিয়ে যাওয়া।তবে তোমার এই  জন্মদিনে ৫০ টি বছর হারিয়ে যাওয়া নয় এই ৫০ টি বছর তোমার মতো ভালো মানুষের সান্নিধ্যে যারা এসেছেন তারাই জানেন তুমি তাদের জন্য কত বিশেষ কেউ।তুমি পৃথিবীতে এসেছো বলেই তোমার মতো একটা ভালো  মনের মানুষ পেয়ে এই পৃথিবী ধন্য।
মহান আল্লাহ তা আলা তোমাকে দীর্ঘায়ু,সুস্থতা ও নেক হায়াত দান করুন।
হাফ সেঞ্চুরি /৫০ একটা বিশেষ সংখ্যা।সেই সংখ্যা তুমি অতিক্রম করতে পেরেছো তা সত্যিই ভাগ্যের ব্যাপার।
শুভ ৫০তম জন্মদিন প্রিয় মানুষ।
… See more",F
