status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
"পোলারে দিয়ে মাটি কোপায় নিলাম  আর যে কাপড় ময়লা করসে, তাও ধোয়ায় নিলাম। No free food. ",F
Zayed Khan is really teaching me how to be patient with irritating people ,F
"মনে করো যেন বিদেশ ঘুরে
মাকে নিয়ে যাচ্ছি অনেক দূরে।
তুমি যাচ্ছ পালকিতে মা চড়ে
দরজা দুটো একটুকু ফাঁক করে,
আমি যাচ্ছি রাঙা ঘোড়ার 'পরে… See more",F
"শুধু ওটিটি না, বাংলা টিভি নাটকও এখন আর দেখার রুচি হয় না। এন্টারটেইনমেন্ট এর নামে যা তা শুরু করে দিসে। শিক্ষামূলক কিছু তো দেখিই না। সমাজের অসংগতি, অন্ধকার দিকগুলা নিয়ে আগে আর কাজ হয় নাই, না? এগুলি এখন দেখাইতেই হবে ইন ডিটেইলস এ?? পরিবারের সবাই মিলে একটা কিছু দেখা এখন অতীত হয়ে গেসে। ছেলেমেয়েদের মধ্যে একলা ""জিনিসপত্র"" দেখার টেন্ডেন্সি বারতেসে। যা দেখানোর বা বুঝানোর চেষ্টা করতেসেন পরিচালক রা, খুবই বেসিক একটা বিষয়। আপনারা দেখান আর না দেখান, মানুষ হইলে শারীরিক বিষয় গুলা এম্নেই নেচার… See more",F
বৈয়াম পাখি!! ওয়েব সিরিজের নোং'রামি নিয়ে ক্ষোভ প্রকাশ করলেন অভিনেত্রী শ্যামলী,F
"ছোটো বাবাটার সাফল্য।
বিশ্বময় প্রতিযোগিতায় 'তৃতীয় স্থান' প্রাপ্তি।
ওর জন্য সবাই দোয়া করবেন।
(মূল কাজের ভিডিও দিলাম, আগেরটিতে বাদ পড়েছিল)",F
"Won third place in Savage Game Studios 's Art Challenge :
Composition & Lighting Art Challenge
Hooray to me ",F
"""আদর্শ"" শব্দটাই হারিয়ে যাচ্ছে।",F
"এক বিয়ের অনুষ্ঠানে এক যুবক তার প্রাথমিক বিদ্যালয়ের এক শিক্ষককে দেখতে  পেলেন। বহুদিন পর ছোটবেলার শিক্ষককে দেখে যুবক তাঁর কাছে ছুটে গেলেন এবং  বললেন, “স্যার, আপ… See more",F
"সবাইকে ঈদ মুবারাক। চার বছর আগেও ভাবিনি এভাবে কখনও ছবি দেয়া হবে। কে কোথায় ছিলাম, আর আজ আমরা একটা পরিবার৷ আমাদের ঈসার প্রথম ঈদ, ঈদের জামাত মসজিদে, পাঞ্জাবি- পাজামা পরে আর সুন্দর একটা সন্ধ্যা। আলহামদুলিল্লাহ  ",F
"আমি করবো।
পারলে সবাই করুন।
সেই গাছ টাই লাগান যেটা খুবি বড় হবে....
অর্থের সাথে সাথে সুবিশাল বাড়ি হচ্ছে, AC হচ্ছেন কিন্তূ গাছ যে আমাদের জীবনের অদ্বিতীয় তা ভাবছি… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"It was a bright day and that means ghuraghuri 
SIU campus.",F
"Please, please, please people....
Try to understand POSTPARTUM.",F
"Hold the mother, not the baby.⁣⁣
 ⁣⁣
Because the baby’s being taken care of—⁣⁣
fed, snuggled, and given all the love in the world—⁣⁣
by not only the mother,⁣⁣… See more",F
Precious,F
"WHEN PARENTS GET OLD ... Let them grow old with the same love that they let you grow ...
Let them speak and tell repeated stories with the same patience and int… See more",F
Apple Garden ,F
"Happy Moments (4)
পিঠা উৎসব ২০২২ আর এক হাড় কাপানো ঠান্ডার দিনের পাগলামি ",F
"Happy Moments (3)
Giant city state park",F
"Happy Moments (2)
@Castle park",F
"Happy Moments (1)
Evergreen park
SIU campus lake",F
,F
,F
,F
,F
,F
,F
