status,author
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"""The Field"" by Diego Andrade",F
"There is respecting other people's opinions and then there are people who don't like F.R.I.E.N.D.S. (The TV show)
Will 'How can they not?' be forever an unsolved mistery or what?",F
A fantasy vista by Montenegrin artist Artem Chebokha <> RHADS,F
Munzereen apu and Ayman bhaiya's wedding reception ,F
সত্য,F
So happy for Munzereen apu and Ayman bhai,F
চার দেয়ালে এবসর্ভার লাগিয়ে World's Quietest Room বানানোর একটা ভিডিও দেখেছিলাম অনেকদিন আগে। আজকাল ইউনিভার্সিটির গ্রুপ চ্যাটে একটা করে প্রশ্ন করি আর সেই ভিডিওর সত্যতা নিয়ে সন্দিহান হই,F
"Taalpatar shepai really did own the show today. Pritam surely knows how to win hearts
 Also, Hatirpool Sessions can not go unmentioned",F
"Made the most conventional 3D model. Proud of myself for actually sitting through the tutorials though it’s just a beginner thing
[How to learn nodes and actually understand them?]",F
Not Adita. Not Angshu. Only me.,F
"বসন্ত বেলায়, ১৪২৯
ডিপার্টমেন্ট অব আর্কিটেকচার, বুয়েট
Shafin captured this",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
"Please make it a trend to sit and park bicycles here
Yes there are locking systems. Your cycles are safe. 
।
।
Again, সবচেয়ে এস্থেটিকালি প্লিজিং, মিনিমাল, ফাংশনালি এন্ড আর্গোনোমিক্যালি পার্ফেক্ট, প্লেনার ইমপ্রেশনিস্ট, ক্লাসিক বার্ন্ট ব্রিক (শুধু ব্রিকেরটা) মডেলটা আমাদের টিমের",F
"Even the rainy weather couldn’t dampen the spirit of our students! See the creativity level  of BUETians! 
As a part of academic project of Level-1, Term-2, st… See more",F
This term tho,F
This drama and its ost,F
"“nah i don't want that cringe relationship stuff, it's so corny” but this...",F
,F
বন্ধুর অভাবে Toggi Fun World এ যেয়ে লাফাতে পারছিনা ,F
"Harvesting Water Lilly 
©Tanvir Alin",F
"পিটা উৎসব continues 
 Indian Pita
Gazipur
May, 2022",F
Somewhere only we know,F
"আমার গ্রাম
স্থান : সিরাজদিখান, মুন্সীগঞ্জ",F
Titanic 1997 ,F
Will keep flooding your newsfeed with friends stuff,F
"ভিডিওতে যে পাখিটা ডাকছে,সে পাখিটার ইংরেজি নাম indian cuckoo.বাংলা নাম বউ কথা কও।অনেকে cuckoo দেখে কোকিল বলে মনে করে,ছোটবেলায় আমরা এভাবেই পড়েছি, cuckoo মানে কোকি… See more",F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
,F
হায়হায়,F
সুবর্ণ আইজ্যাক বারী। তাকে দাবি করা হয়েছে বিশ্বের সর্বকণিষ্ঠ অধ্যাপক হিসেবে। তার প্রতিভার স্বীকৃতি দেয়া হয়েছে হার্ভার্ড বিশ্ববিদ্যালয় থেকে। কিন্তু এসব দাবির কতটু… See more,F
Homogenous screen videography,F
"We are very pleased to share that, one of the dedicated present part-time faculties of the department and our alumni  (batch’00)  - Ar. Ashraful Azad, the found… See more",F
"ফেব্রুয়ারি ২৪, ২০২২
প্রথম 'একুশে বইমেলা' ভ্রমণ এবং বাবার লেখা বই হাতে প্রথম ছবি। প্রচ্ছদের কাজটা আমার।
'আবার জন্ম দাও যদি'
____বেনজামিন রিয়াজী… See more",F
Plucked out my eyes,F
My favorite Korean Drama.,F
,F
